#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_u            3058.029980173636    All      -0.08409705364205368       0.04062702532543483       0.09566633456119385        0.044895884951912726      
Zeropoint     AB|SDSS|SDSS_i            6371.926980835955    All      1.0397912002681258         0.06447952148711522       0.21766749959400447        -0.3079775997839192       
Zeropoint     AB|SDSS|SDSS_r            5254.44008102403     All      0.6994932504975571         0.33037583314481367       -0.16258832775156473       -0.12748925676049114      
Zeropoint     AB|SDSS|SDSS_z            7575.690024966038    All      0.11187410733166275        0.007193856935217013      0.13573637737617997        -0.02804051032440036      
Zeropoint     AB|SDSS|SDSS_g            4021.149331970186    All      -0.7749166610877812        0.5575808129410831        -0.2799477607647061        0.42154548234661227       
Check         All|All|All               All                  All      0.9921448433675107         1.0002570498336638        0.006534123015107418       0.0029340004297142563     
Lambda        AB|SDSS|SDSS_u            3058.029980173636    All      -7.549428378515108e-05     3.7748492656316436e-05    9.657423024284577e-05      4.119656221001218e-05     
Lambda        AB|SDSS|SDSS_i            6371.926980835955    All      -0.00029274721449221684    -3.732312961203048e-05    -0.0003807034994885599     6.621097897402399e-05     
Lambda        AB|SDSS|SDSS_r            5254.44008102403     All      0.00016636097656526342     7.221632451365446e-05     -0.0006827339946196652     -6.113329293632023e-05    
Lambda        AB|SDSS|SDSS_z            7575.690024966038    All      -1.1001460993865872e-05    -8.97460813296376e-07     -1.6527241206987766e-05    2.5536704023492416e-06    
Lambda        AB|SDSS|SDSS_g            4021.149331970186    All      -0.00065829801832406       0.00032820863285687934    -0.001193177368547737      0.0002680916455015959     
MWEBV         All|All|All               All                  All      -0.7426064094655707        -3.2530103635528107       0.2516585621140768         -0.8064907918819583       
Redshift      All|All|All               All                  All      5.280285067009227          -0.3057945505222648       -2.1892928095135837        -1.9172679910211248       
