#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_g            3957.703972906138     All      -0.8704581890527829        0.48599030982678926       -0.5145598434512122        0.41887745938982285       
Zeropoint     AB|SDSS|SDSS_z            7456.1614190596265    All      0.10347223849925034        0.007572038054348695      0.11556454596231003        -0.026080735390249243     
Zeropoint     AB|SDSS|SDSS_u            3009.780637982288     All      -0.05525045174098306       0.03858882076439585       0.1661844630654885         0.037982587604348805      
Zeropoint     AB|SDSS|SDSS_r            5171.535963295641     All      0.8871719954598609         0.4226575230019236        0.4450574627692383         -0.1314467752633719       
Zeropoint     AB|SDSS|SDSS_i            6271.391247926241     All      0.9282514456278061         0.04501790320148302       -0.20549640225888677       -0.29686858291068097      
Check         All|All|All               All                   All      0.9931870387931515         0.9998265948489404        0.006750226086937872       0.0024639534298695476     
Lambda        AB|SDSS|SDSS_g            3957.703972906138     All      -0.0006161886646225493     0.00030247203655045616    -0.000552373782882191      0.00027458810844239263    
Lambda        AB|SDSS|SDSS_z            7456.1614190596265    All      -1.3262628522786855e-05    -9.70483016876427e-07     -1.7857157232781823e-05    3.2070732785079216e-06    
Lambda        AB|SDSS|SDSS_u            3009.780637982288     All      -8.30976866005939e-05      3.814804616281517e-05     0.00010082970723999113     4.399329076719474e-05     
Lambda        AB|SDSS|SDSS_r            5171.535963295641     All      -0.00019148561892668687    -4.050980609300821e-05    -0.0025934436266374316     -6.655568860444609e-05    
Lambda        AB|SDSS|SDSS_i            6271.391247926241     All      -0.00028145332673735124    -4.303456243703321e-05    -0.0003897191998246431     6.026945730434589e-05     
MWEBV         All|All|All               All                   All      -0.7835498476711269        -3.205170652189615        -0.11501392911881236       -0.7939341084064383       
Redshift      All|All|All               All                   All      5.414788887080967          0.47050016736491784       1.047808735648803          -1.563758606818294        
