#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_g            3957.703972906138     All      -0.9127876642735483        0.5362768195698919         -0.35116864415302745       0.4563369314639985        
Zeropoint     AB|SDSS|SDSS_z            7456.1614190596265    All      0.09600285567306438        0.005609958911101387       0.1033309654436177         -0.02483275390755289      
Zeropoint     AB|SDSS|SDSS_u            3009.780637982288     All      -0.058161040225980384      0.023401545382562006       0.037073345139057155       0.028222030583906585      
Zeropoint     AB|SDSS|SDSS_r            5171.535963295641     All      0.8321117101174427         0.39751779772387863        0.35397866373736414        -0.12576509298421668      
Zeropoint     AB|SDSS|SDSS_i            6271.391247926241     All      1.0361215443422553         0.03717688229301075        -0.13863443182503418       -0.3315757587000893       
Check         All|All|All               All                   All      0.9932874056332337         0.9999830038804447         0.004579898341977362       0.002385356456046206      
Lambda        AB|SDSS|SDSS_g            3957.703972906138     All      -0.0008397549253084114     0.0004188788966847023      -0.0007137007847154037     0.00037812925553325845    
Lambda        AB|SDSS|SDSS_z            7456.1614190596265    All      -1.2894356163351121e-05    -1.6268904408324175e-06    -2.5346602561330548e-05    2.539081814858769e-06     
Lambda        AB|SDSS|SDSS_u            3009.780637982288     All      -6.789041552291621e-05     2.8744921457785103e-05     5.481214755838115e-05      3.3923322865211576e-05    
Lambda        AB|SDSS|SDSS_r            5171.535963295641     All      -6.145252933670157e-05     -1.2127560972618273e-05    -0.0024045587048044004     -9.12376463173028e-05     
Lambda        AB|SDSS|SDSS_i            6271.391247926241     All      -0.0002291972903608307     -5.129884414359817e-05     -0.0006622051772326738     2.8396200956467826e-05    
MWEBV         All|All|All               All                   All      -0.6835472266911911        -3.207348759791806         0.13149977137723048        -0.8162169590950927       
Redshift      All|All|All               All                   All      5.513243383667072          0.26941446599622054        3.3927847985016593         -1.5566831922723532       
