#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|SDSS|SDSS_g            4077.65499054466     All      -0.9709818834240826       0.642465196852271          -0.4889445734487574        0.5037334442064736         
Zeropoint     AB|SDSS|SDSS_r            5328.276084789875    All      0.8292764855405581        0.29248944050070946        -0.09890997620156661       -0.17926309829949943       
Zeropoint     AB|SDSS|SDSS_u            3101.001773485658    All      -0.06147951604764495      0.02330357075095435        0.015124160347057547       0.02829156246454273        
Zeropoint     AB|SDSS|SDSS_z            7682.144503195287    All      0.1218728089677541        0.006726053112160457       0.16005395274889533        -0.03036461378794625       
Zeropoint     AB|SDSS|SDSS_i            6461.46604062118     All      1.0731082259909093        0.036229534290299625       0.424200644438133          -0.31881537570442525       
Check         All|All|All               All                  All      0.9917961210274939        1.0012137955063949         0.01152420788376185        0.003581918879145385       
Lambda        AB|SDSS|SDSS_g            4077.65499054466     All      -0.0009812078822630547    0.00038996973960895643     -0.001846059081646924      0.00036425652367634613     
Lambda        AB|SDSS|SDSS_r            5328.276084789875    All      0.0004740841408373268     0.00010157011716621727     -0.00010984050263844345    -0.00012624175001061118    
Lambda        AB|SDSS|SDSS_u            3101.001773485658    All      -5.692198600814969e-05    3.89503301849042e-05       0.00013519051433315775     3.726169923670896e-05      
Lambda        AB|SDSS|SDSS_z            7682.144503195287    All      -4.742448144571075e-06    9.098698509185556e-07      3.2090148795050756e-06     1.98434952246965e-06       
Lambda        AB|SDSS|SDSS_i            6461.46604062118     All      -0.0002462407259190627    -3.4970670570079674e-05    -0.0005343942918615649     4.497004474395723e-05      
MWEBV         All|All|All               All                  All      -0.7303198933409778       -3.318219829114355         0.35115632076885284        -0.8272936546671155        
Redshift      All|All|All               All                  All      6.483327885915287         -0.5281727905460443        7.453412372788903          -1.9512648799313526        
