#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_g            4077.65499054466     All      -0.8572139594878129        0.5875147620130861         -0.4018989260651351       0.4526607715407086        
Zeropoint     AB|SDSS|SDSS_r            5328.276084789875    All      0.9321522478977852         0.31535183462629846        -0.17801495205878987      -0.20885617645066482      
Zeropoint     AB|SDSS|SDSS_u            3101.001773485658    All      -0.08640222048599189       0.04590252495226821        0.14206847776609394       0.049435871951861554      
Zeropoint     AB|SDSS|SDSS_z            7682.144503195287    All      0.08437691797145977        0.006034071654426043       0.10718439336264811       -0.02073569525288304      
Zeropoint     AB|SDSS|SDSS_i            6461.46604062118     All      0.919564730829934          0.04587539633469362        0.33982024347561823       -0.26942474304204583      
Check         All|All|All               All                  All      0.9924777167253743         1.0006785895807724         0.009159236480435262      0.0030800287469764376     
Lambda        AB|SDSS|SDSS_g            4077.65499054466     All      -0.0007639626933870095     0.0002895225132592688      -0.0018007691158880264    0.0002627947354298432     
Lambda        AB|SDSS|SDSS_r            5328.276084789875    All      0.000295251904822425       8.523319549537529e-05      -0.0001889909422113106    -7.684380078501605e-05    
Lambda        AB|SDSS|SDSS_u            3101.001773485658    All      -6.590293040141941e-05     3.7023993891097753e-05     0.0001241562185576451     3.9067207242643176e-05    
Lambda        AB|SDSS|SDSS_z            7682.144503195287    All      -1.3300537619921319e-06    6.03307278345393e-07       7.231012976412412e-06     9.524461948228097e-07     
Lambda        AB|SDSS|SDSS_i            6461.46604062118     All      -0.00026911368661795685    -2.3909308613249103e-05    -0.0002616183625214252    6.81963069509031e-05      
MWEBV         All|All|All               All                  All      -0.7539624075275251        -3.315952494054031         0.3151366825336829        -0.8204613553809091       
Redshift      All|All|All               All                  All      6.232468088104148          -0.27678612190307206       5.158265396866057         -1.8900885506959515       
