#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     AB|PS|PS_z                7646.984980637147    All      0.4404011143464129         -0.07164924903175773      0.15355022893324133        -0.15993940782225297      
Zeropoint     AB|PS|PS_g                4325.892051463356    All      -0.9294048304783289        0.8579616748516372        0.18667478039107177        0.5905345114799815        
Zeropoint     AB|PS|PS_r                5493.589238210607    All      0.4283368886415977         0.3281359766942771        -0.592107627415972         -0.05906177749293445      
Zeropoint     AB|PS|PS_i                6653.926350907584    All      1.0584067232422216         -0.11601419698852311      0.25303295592031816        -0.37125583233539455      
Check         All|All|All               All                  All      0.9977398957519032         0.9984342055256334        0.0011503378286592536      0.00027749382939951106    
Lambda        AB|PS|PS_z                7646.984980637147    All      -8.702225824288565e-05     3.7678469520763763e-06    -0.00014232879991410183    2.3221843520107516e-05    
Lambda        AB|PS|PS_g                4325.892051463356    All      -0.0005003061578818021     0.00032907748846568803    -0.0005136548573395279     0.0002472354823752361     
Lambda        AB|PS|PS_r                5493.589238210607    All      0.00013630201374705572     4.9249303062410415e-05    -0.0006296972861369296     -5.645642960436634e-05    
Lambda        AB|PS|PS_i                6653.926350907584    All      -0.00040233443435318565    1.212939195293666e-05     -0.0005675125287590764     0.00010967902601502568    
MWEBV         All|All|All               All                  All      -0.5760120194609888        -3.5437713342689747       0.03521908056194345        -0.9651251794042345       
Redshift      All|All|All               All                  All      3.5113514941498685         0.7860825482289613        3.1661489484206884         -0.7464190683997631       
