#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_i                5955.36103423752      All      1.1344668832033042         0.08639015064400013       -0.66930263513576         -0.37126097510518025       
Zeropoint     AB|PS|PS_z                6844.162977078093     All      0.6369421775653253         -0.023688002872113145     0.7253193252965695        -0.18282131363902554       
Zeropoint     AB|PS|PS_g                3871.7364159115996    All      -0.8168468987451013        0.4764268425136109        -0.3488261215681687       0.4056952972651052         
Zeropoint     AB|PS|PS_r                4916.842411831562     All      0.044133124114589195       0.45799540514455117       0.3095336500878898        0.1486216257628674         
Check         All|All|All               All                   All      0.9986952861381178         0.997124395430049         0.016724218680530534      0.00023463428376677142     
Lambda        AB|PS|PS_i                5955.36103423752      All      -0.0002522087064803363     -9.977399814567171e-06    0.00033382057834133313    9.37995849832351e-05       
Lambda        AB|PS|PS_z                6844.162977078093     All      -0.0006375134232161363     4.5840095211037474e-05    -0.0005915272905200743    0.0001961935764253823      
Lambda        AB|PS|PS_g                3871.7364159115996    All      -0.0009870279656700573     0.000432051013734196      -0.0010414848398321663    0.00041576402486880997     
Lambda        AB|PS|PS_r                4916.842411831562     All      -0.00012352625958205648    -5.603940188051437e-05    -0.0008176512822286439    -1.4505331584293847e-05    
MWEBV         All|All|All               All                   All      -0.49094001992725866       -3.007490125629708        0.059817504973080915      -0.8170537809515106        
Redshift      All|All|All               All                   All      6.028364422341443          0.15707970822482764       9.691845285029665         -1.479968048881939         
