#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_i                5955.36103423752      All      1.0841014502222561         0.08109128770694696       -0.9894769932930493       -0.370869221692657         
Zeropoint     AB|PS|PS_z                6844.162977078093     All      0.6580013477107761         -0.030599467870651154     0.7542236041442926        -0.19064240449956324       
Zeropoint     AB|PS|PS_g                3871.7364159115996    All      -0.7519409501295239        0.47968194104388573       -0.04225243407025799      0.39929456277061376        
Zeropoint     AB|PS|PS_r                4916.842411831562     All      0.006964481097452846       0.46816074277966635       0.28158226471063424       0.1627925185496972         
Check         All|All|All               All                   All      0.9971263289009614         0.9983345036598479        0.004076441491619565      0.0005754551280906794      
Lambda        AB|PS|PS_i                5955.36103423752      All      -0.00017245287984890686    1.929652118962258e-06     0.0005301183273033561     8.045887387896708e-05      
Lambda        AB|PS|PS_z                6844.162977078093     All      -0.0007584326541821262     5.2033245587455206e-05    -0.001382494959195805     0.0002023010066318424      
Lambda        AB|PS|PS_g                3871.7364159115996    All      -0.0010075041543612974     0.0005095365944451419     -0.0007365811352512075    0.00046127984797297194     
Lambda        AB|PS|PS_r                4916.842411831562     All      -0.00011021031929308365    -2.579342035269892e-05    -0.0007264889560809301    -4.9225042484373655e-06    
MWEBV         All|All|All               All                   All      -0.48667094512669173       -3.010498111768989        0.0604760220739157        -0.8193947725140621        
Redshift      All|All|All               All                   All      6.5782821948949515         -0.1608707753655736       14.763281298904152        -1.5363463948894645        
