#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     VEGAHST|UVOT|UVOT_v       5348.8560714907      All      1.9412980731294038         0.3568656308028828         0.29683512472576945       -0.5028553844427005       
Zeropoint     VEGAHST|UVOT|UVOT_u       3434.643635312502    All      -0.6291932628194066        0.1637504576389226         0.08740494167527868       0.2621883379374079        
Zeropoint     VEGAHST|UVOT|UVOT_b       4305.234806584906    All      -0.31612390923253647       0.47813057948244975        -0.38389483001545766      0.24158335407259562       
Check         All|All|All               All                  All      0.9959809010774607         0.9987466679242551         0.000345236385590475      0.000916307567303043      
Lambda        VEGAHST|UVOT|UVOT_v       5348.8560714907      All      0.0008257905553497309      7.307713616321427e-05      -0.000801897965481796     -0.0002809685473803006    
Lambda        VEGAHST|UVOT|UVOT_u       3434.643635312502    All      -0.00027336555521876096    3.6450678830518244e-05     -0.0005322747300028774    7.716436353058145e-05     
Lambda        VEGAHST|UVOT|UVOT_b       4305.234806584906    All      -0.00031982077140248243    -2.6497364949200726e-05    -0.0017987674229828319    1.5274354887502838e-05    
MWEBV         All|All|All               All                  All      -1.556116474085088         -3.8711879976912833        0.10235345715732258       -0.7495273941288738       
Redshift      All|All|All               All                  All      -0.43405194172719525       -0.5308972213225793        -2.7533566813782215       -0.1544153566593487       
