#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     VEGAHST|UVOT|UVOT_v       5348.8560714907      All      2.089814852701079          0.3607415414847104        0.38949021416453394        -0.5458349028911491       
Zeropoint     VEGAHST|UVOT|UVOT_u       3434.643635312502    All      -0.6528754089096317        0.15907257870768632       0.02980870662877825        0.26580839753272334       
Zeropoint     VEGAHST|UVOT|UVOT_b       4305.234806584906    All      -0.44976311656348583       0.48071612985678414       -0.4159003550842571        0.28452797973085564       
Check         All|All|All               All                  All      0.9871763272279618         1.0005302500491808        0.0033985657090551125      0.00450147437242987       
Lambda        VEGAHST|UVOT|UVOT_v       5348.8560714907      All      0.0007279320580488144      9.48003939016766e-05      -0.00020832742721418624    -0.0002155285086890819    
Lambda        VEGAHST|UVOT|UVOT_u       3434.643635312502    All      -0.00015250501254716417    -4.919467035302747e-05    -0.0008886272665218203     -6.003776325522042e-06    
Lambda        VEGAHST|UVOT|UVOT_b       4305.234806584906    All      -0.00029674965241890803    -8.326324878106838e-05    -0.0019197525019698856     -1.613019189968557e-05    
MWEBV         All|All|All               All                  All      -1.513193933707401         -3.8758397737638006       0.16838103044456654        -0.7620774068030925       
Redshift      All|All|All               All                  All      -0.5698196691511936        -0.1418298045344102       -3.657001738045393         -0.02378481221349686      
