#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_r                5036.233309376035     All      -0.5771502307872014       1.1946132845542579         2.7367909067063683        0.6992520747753198         
Zeropoint     AB|PS|PS_i                6099.969268450612     All      1.4009279288302807        -0.1470194923992807        -0.8920020826854852       -0.5440233571848446        
Zeropoint     AB|PS|PS_g                3965.7500220094853    All      -0.47829327370377545      0.18856125471806706        -1.3554729993956949       0.15672792426860988        
Zeropoint     AB|PS|PS_z                7010.353123585071     All      0.6468553508731918        -0.23902958774204563       -0.5292419614530721       -0.31217950727501903       
Check         All|All|All               All                   All      0.9923397752124958        0.9971254591309986         -0.03992613682788404      -0.00022286541593397047    
Lambda        AB|PS|PS_r                5036.233309376035     All      -8.393808253792168e-07    -0.00010728835967822798    -0.000626312401138629     -6.262338039375927e-05     
Lambda        AB|PS|PS_i                6099.969268450612     All      -0.0004156820627414541    9.555255177112548e-06      -0.0006223625175384556    0.0001107406035882079      
Lambda        AB|PS|PS_g                3965.7500220094853    All      -0.0004837254706416508    0.00019044157545158158     -0.0013760398415363112    0.00015819204814422077     
Lambda        AB|PS|PS_z                7010.353123585071     All      -0.0004355574190136824    0.00015788482708632446     8.823969507535815e-06     0.0001936974364568532      
MWEBV         All|All|All               All                   All      -0.5098237160970442       -3.1259480384498772        0.026725560306548258      -0.8509651207136273        
Redshift      All|All|All               All                   All      6.549698572282287         -1.6856007280662055        -7.755702706689737        -3.0286093065683994        
