#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     AB|PS|PS_r                5036.233309376035     All      -0.30445693914124905       1.083740418091672         3.0814814700226734         0.5896939148618981        
Zeropoint     AB|PS|PS_i                6099.969268450612     All      1.2736075354566698         -0.10403077828069485      -1.1175377102678796        -0.49861269708275713      
Zeropoint     AB|PS|PS_g                3965.7500220094853    All      -0.528136936482549         0.21971978661756708       -1.3106068610586497        0.18511517365963556       
Zeropoint     AB|PS|PS_z                7010.353123585071     All      0.5521982650780732         -0.2025108687735866       -0.6864580590922431        -0.27646706447794694      
Check         All|All|All               All                   All      0.9932119249109451         0.9969185576549577        -0.033121160396099025      -0.0002706730391703327    
Lambda        AB|PS|PS_r                5036.233309376035     All      -2.1365021141238983e-05    -0.0001340594863147914    -0.0007601890851389192     -7.063204229237275e-05    
Lambda        AB|PS|PS_i                6099.969268450612     All      -0.0005836408313471938     4.057417832704831e-06     -0.0010308862585067188     0.0001454289354281688     
Lambda        AB|PS|PS_g                3965.7500220094853    All      -0.0005083536237065951     0.00020833978031589804    -0.0013237673833490131     0.00017437696172758248    
Lambda        AB|PS|PS_z                7010.353123585071     All      -0.00043367319695597186    0.00011109003672646906    -0.00018450918174904959    0.00016921351002697755    
MWEBV         All|All|All               All                   All      -0.5089465956954666        -3.126403658255228        0.0009173188293631895      -0.8525509413290354       
Redshift      All|All|All               All                   All      7.030730331114136          -1.0809512461761983       -3.5145867208278503        -2.799081419558225        
