#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_r                5426.262329684949     All      0.591162240769492          0.4515904991061248        0.23208431919962655       -0.03510625079251411      
Zeropoint     AB|PS|PS_z                7553.267042152154     All      0.6471350829957638         -0.05036440014745125      0.8071705008462812        -0.1911782164583956       
Zeropoint     AB|PS|PS_i                6572.3788832432665    All      0.6706439278388026         -0.14758172959155047      -1.0123641591330523       -0.3117001782513294       
Zeropoint     AB|PS|PS_g                4272.875903766152     All      -0.9115895156333171        0.744887578351161         -0.023303573517904408     0.5385291545317672        
Check         All|All|All               All                   All      0.9973517359707412         0.9985319477182841        0.003587087394951005      0.000544509029528073      
Lambda        AB|PS|PS_r                5426.262329684949     All      0.00016443577302280692     0.00011306296536390794    0.00023842270480878812    -6.094103289933233e-06    
Lambda        AB|PS|PS_z                7553.267042152154     All      -7.294239759393632e-05     9.319523841384017e-06     -3.741813025251253e-05    2.512561485039939e-05     
Lambda        AB|PS|PS_i                6572.3788832432665    All      -0.0002622947160689997     5.139603174560474e-05     0.00026696051183761814    0.0001140926182203121     
Lambda        AB|PS|PS_g                4272.875903766152     All      -0.00046550972342603107    0.00024418862823219055    -0.0008505374096631067    0.00019321652330109968    
MWEBV         All|All|All               All                   All      -0.525150095576786         -3.4785648532528413       0.14163589193109505       -0.9557037916877835       
Redshift      All|All|All               All                   All      3.658312030658127          -0.20368866931974594      -11.1927970992179         -1.7574638119122885       
