#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_r                5426.262329684949     All      0.5962264422814041         0.42909640001891347       -0.07205084743240331      -0.057655051583299644     
Zeropoint     AB|PS|PS_z                7553.267042152154     All      0.5759997095463267         -0.02972387277093702      0.8755767866215347        -0.1582311278664865       
Zeropoint     AB|PS|PS_i                6572.3788832432665    All      0.6742925835955234         -0.13711499403576966      -1.0246739387724468       -0.310028634281146        
Zeropoint     AB|PS|PS_g                4272.875903766152     All      -0.8612111801575209        0.7339998545701221        0.16332214979957183       0.5269010323290503        
Check         All|All|All               All                   All      0.9853075552657334         0.9962573877823289        -0.05782584978374361      0.0009862185981180938     
Lambda        AB|PS|PS_r                5426.262329684949     All      0.0001123406953331555      0.00010697235747472593    0.00018620239042125962    6.56071323429414e-06      
Lambda        AB|PS|PS_z                7553.267042152154     All      -9.542390030481574e-05     1.896623463647267e-05     6.0248484295409e-05       3.9949243416859755e-05    
Lambda        AB|PS|PS_i                6572.3788832432665    All      -0.00031855009641457193    4.6491026870056614e-05    0.00015253459679342602    0.00012571282183886903    
Lambda        AB|PS|PS_g                4272.875903766152     All      -0.0003398414580745792     0.00017407851518850938    -0.0007182657146073644    0.0001353477427888859     
MWEBV         All|All|All               All                   All      -0.5253348609471047        -3.4744750846691375       0.17017612661953674       -0.95303781575738         
Redshift      All|All|All               All                   All      3.8671014411190883         -0.02833520861109662      -11.521660056124905       -1.7830306441105204       
