#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_i                5222.766891263557     All      1.218579033352264          0.45304029457824413        1.7139380939309556        -0.17287596739592145      
Zeropoint     AB|PS|PS_r                4312.000835959755     All      -0.1479089700152233        0.3947406313583812         0.8234280108120218        0.21350463806346953       
Zeropoint     AB|PS|PS_g                3395.4577478125143    All      -0.6620933817110197        0.13703887293381456        -1.2217094093121328       0.20578438617885086       
Zeropoint     AB|PS|PS_z                6002.233548829987     All      0.581287409322584          0.013201488642877734       -1.3313256451965683       -0.24445522282463722      
Check         All|All|All               All                   All      0.989864090948605          0.9980212875133176         -0.01566894976572364      0.001957834021761723      
Lambda        AB|PS|PS_i                5222.766891263557     All      9.124485993559093e-06      6.651048607797157e-05      -0.001810658422689072     -6.21088611804529e-05     
Lambda        AB|PS|PS_r                4312.000835959755     All      -0.00017150916537380463    -2.3198961715063123e-05    -0.000996666175967162     3.8328786811857605e-06    
Lambda        AB|PS|PS_g                3395.4577478125143    All      -0.0008033473498076122     0.00019681295991113844     -0.0012655261748497244    0.0002693104963401754     
Lambda        AB|PS|PS_z                6002.233548829987     All      -0.0003159083774489051     -3.2995275632003e-05       5.839844400153056e-05     9.476015916778885e-05     
MWEBV         All|All|All               All                   All      -0.5643783703772969        -2.4417569401336436        -0.43801225171301583      -0.6310704391664593       
Redshift      All|All|All               All                   All      1.5309147493669186         -0.2799420522027418        -2.536042003880923        -0.7030275427040218       
