#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            6156.141884383382     All      1.0496413987772637         -0.05344369870226018      -0.0012917201982481663     -0.35936875021064624       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g            4755.785697833666     All      -0.25540803394103895       0.44920287024741157       0.1018713444383558         0.23406100272850336        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4353.495217681854     All      -0.5036039911755373        0.3350790092934375        -0.09918866593947376       0.268760310500087          
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u            3557.7813617867155    All      -0.3046146926232653        0.11360939915414647       -0.0686381209261621        0.13316634176238684        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7526.826096453966     All      0.32157079016198753        -0.03816611936038328      0.05799510913833761        -0.11459009106528292       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-3014    5318.766447326501     All      0.6865724768331076         0.1917517784807643        0.009065830748219948       -0.16077481418235742       
Check         All|All|All                              All                   All      0.9941579480325173         0.9980332391131164        -0.00018622273897066915    0.001253999532690564       
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            6156.141884383382     All      -0.0001907571464996637     -2.061992609540085e-05    -0.0005012504414361081     3.305078499267623e-05      
Lambda        Linear_AB11_off|SWOPE|SWOPE_g            4755.785697833666     All      -6.106334804718819e-05     -3.594152671229632e-05    -0.0005455862075804729     -1.6164002965352745e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4353.495217681854     All      -0.0002608652980538547     9.62020427643977e-05      -0.0004447823410362405     9.645998700204802e-05      
Lambda        Linear_AB11_off|SWOPE|SWOPE_u            3557.7813617867155    All      -0.00040666982249250647    0.0001208739160497918     -0.0002274656227118149     0.0001616876052868989      
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7526.826096453966     All      -6.477974849336952e-05     -7.466938684543716e-07    -0.00011757496708125768    1.5610841737714284e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-3014    5318.766447326501     All      0.00017945519439541954     1.867777141378718e-05     -0.0008807418758994018     -9.167396090548874e-05     
MWEBV         All|All|All                              All                   All      -1.0748665329355536        -3.9816824975376974       -0.029756775938819174      -0.9481734993178378        
Redshift      All|All|All                              All                   All      4.619575613909164          0.7682216765898531        2.3565052448025092         -1.1493526771274811        
