#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            6156.141884383382     All      1.0393267271967381         -0.04813167952386621       -0.0074438010470190275     -0.3545531620404059        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g            4755.785697833666     All      -0.255774317233169         0.44890507267920654        0.1092748141278077         0.234413693631233          
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4353.495217681854     All      -0.4993706061828476        0.33596886794295955        -0.07964607430621384       0.26854331008008336        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u            3557.7813617867155    All      -0.2879215093419739        0.10685068539544318        -0.06292644807600889       0.1257821730785029         
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7526.826096453966     All      0.31476930681011345        -0.03690266954343713       0.044590219006904186       -0.11256127568391033       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-3014    5318.766447326501     All      0.6827648317684653         0.19142792612125703        -0.004124832931923228      -0.16022866702243704       
Check         All|All|All                              All                   All      0.9937944330173262         0.998118203071563          -0.0002761232264530955     0.0013960720430660212      
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            6156.141884383382     All      -0.00023993372199112933    -2.2735346615679143e-05    -0.0005568468211554913     4.58991403508625e-05       
Lambda        Linear_AB11_off|SWOPE|SWOPE_g            4755.785697833666     All      -6.90758468809113e-05      -5.9119245028995725e-05    -0.0006190746009205227     -2.4383263346643666e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4353.495217681854     All      -0.00024048924114516165    7.762622224773355e-05      -0.0004518198571621697     8.345802702334787e-05      
Lambda        Linear_AB11_off|SWOPE|SWOPE_u            3557.7813617867155    All      -0.00034588693981619525    9.757030346303918e-05      -0.00024205652314454826    0.00013364674254346298     
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7526.826096453966     All      -7.462487743720943e-05     3.3343617115206796e-07     -0.00011970617054038796    1.9074452196849627e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-3014    5318.766447326501     All      0.0001488712169577514      8.362079586280504e-06      -0.0009083375744431901     -8.630338275901887e-05     
MWEBV         All|All|All                              All                   All      -1.0859128550971962        -3.9772349562221976        -0.02575220500316555       -0.9429479326418355        
Redshift      All|All|All                              All                   All      4.648660667674758          1.0639563338239455         2.4889060212721246         -1.056587690207339         
