#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     AB|SDSS|SDSS_u            3478.9785945142235    All      -0.32947850682887103       0.13972743282995026       -0.7060750322418485        0.12132692516015897        
Zeropoint     AB|SDSS|SDSS_r            5977.732293848288     All      0.7704055766165776         0.12726945002139445       -1.913093655999809         -0.2948631783280642        
Zeropoint     AB|SDSS|SDSS_i            7249.045207489181     All      0.5335060815764091         0.038242256861575896      1.066406653331109          -0.11373489029591899       
Zeropoint     AB|SDSS|SDSS_z            8618.510481063135     All      0.11799595734768276        -0.02791039623710745      -0.3201295856271269        -0.06181241264355264       
Zeropoint     AB|SDSS|SDSS_g            4574.674722605276     All      -0.13611750075717266       0.7303691644235499        1.8317897973541886         0.36398757896359824        
Check         All|All|All               All                   All      0.9563116079546257         1.007697907899363         -0.041101823183486985      0.014904022856221388       
Lambda        AB|SDSS|SDSS_u            3478.9785945142235    All      -0.00028605571934105565    8.934098035487651e-05     -0.0009217737812097532     8.11445249740052e-05       
Lambda        AB|SDSS|SDSS_r            5977.732293848288     All      0.00017161348550558358     4.9296148366401904e-05    -0.0002686331992575663     -5.1830646722302376e-05    
Lambda        AB|SDSS|SDSS_i            7249.045207489181     All      -0.00020566748941319281    -1.350296522137105e-05    -0.0005265940619261801     3.909483312962055e-05      
Lambda        AB|SDSS|SDSS_z            8618.510481063135     All      -4.65099324181595e-05      6.288539898797022e-06     5.431827271487894e-05      1.9622174488239395e-05     
Lambda        AB|SDSS|SDSS_g            4574.674722605276     All      -0.00012453248270678368    0.00013698171814130488    -0.00020975770376574577    7.582325584110143e-05      
MWEBV         All|All|All               All                   All      -1.0434698413722394        -3.7990767247431556       -0.20002646544465819       -0.9065180811520634        
Redshift      All|All|All               All                   All      3.408033074185533          -1.0458138678508533       5.490684586023065          -1.2057404409613115        
