#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_z                6090.575926546155    All      0.7462468013475705         0.07041589203780063        0.13852309110127248       -0.2139587119963829        
Zeropoint     AB|PS|PS_r                4375.465944983553    All      -0.2411472836870786        0.5233766923650407         0.0440870968492213        0.2509980157395644         
Zeropoint     AB|PS|PS_i                5299.636883355325    All      1.0166763825258012         0.3057096962159278         0.45262784870920836       -0.21138653779697453       
Zeropoint     AB|PS|PS_g                3445.43294595105     All      -0.5312523273071266        0.0982699805284426         -0.6444389053352317       0.1762977777865285         
Check         All|All|All               All                  All      0.9905235728791664         0.9977722611472117         -0.009200868675529605     0.0019505437327354547      
Lambda        AB|PS|PS_z                6090.575926546155    All      -0.00014813450472135365    1.3350320664006767e-05     0.0007349432728480292     8.539806311581123e-05      
Lambda        AB|PS|PS_r                4375.465944983553    All      -0.00031766164020101444    -8.86405228504275e-05      -0.0013490791231399236    1.4396507322611544e-05     
Lambda        AB|PS|PS_i                5299.636883355325    All      -0.00020122361257242892    -0.00012447176056058459    -0.003518083896055691     -0.00013199532304488125    
Lambda        AB|PS|PS_g                3445.43294595105     All      -0.0009769652646719983     0.00012759458649332862     -0.0021557110883389232    0.00026359199741462364     
MWEBV         All|All|All               All                  All      -0.48748206366644986       -2.496602039502349         0.06747432257649955       -0.6514254050954134        
Redshift      All|All|All               All                  All      2.199451497876212          -0.13733140687790524       -4.14818771951686         -0.9462816359374357        
