#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_u            3031.5547801910097    All      -0.05106077979115492       0.027896341986632933       0.07833011250304504        0.029214445338991864      
Zeropoint     AB|SDSS|SDSS_g            3986.33583000515      All      -0.9357104861440474        0.525928792186825          -0.5414597362230427        0.45194113826329496       
Zeropoint     AB|SDSS|SDSS_i            6316.76138658539      All      1.0468506147847816         0.005522357557374846       -0.18500416082934545       -0.3474507580654811       
Zeropoint     AB|SDSS|SDSS_r            5208.949241220707     All      0.8545538414568676         0.44338063327504784        0.6259058478510214         -0.10600133779356023      
Zeropoint     AB|SDSS|SDSS_z            7510.102731931726     All      0.0793269637733407         -0.002445083318924901      0.029553928035058307       -0.025316989886469906     
Check         All|All|All               All                   All      0.9939601540797876         1.0002830416869557         0.007325991336736625       0.0023864978567755997     
Lambda        AB|SDSS|SDSS_u            3031.5547801910097    All      -5.476613547372988e-05     3.05270448308258e-05       9.087020083103795e-05      3.183791459882993e-05     
Lambda        AB|SDSS|SDSS_g            3986.33583000515      All      -0.0008617298497602552     0.00037177760547075416     -0.0010206068826697575     0.00035624896166294874    
Lambda        AB|SDSS|SDSS_i            6316.76138658539      All      -0.00035620353236746026    -2.5986836269689353e-05    -0.00040286344090355563    8.958449664299146e-05     
Lambda        AB|SDSS|SDSS_r            5208.949241220707     All      0.0002034224903201607      8.409110260878165e-05      -0.0009305698533403748     -8.03972174654757e-05     
Lambda        AB|SDSS|SDSS_z            7510.102731931726     All      -1.131473396864292e-05     -9.946036248452527e-07     -2.137818611022246e-05     2.407595715536544e-06     
MWEBV         All|All|All               All                   All      -0.6764061619453434        -3.233874240222434         0.210046474035867          -0.82367808186781         
Redshift      All|All|All               All                   All      5.533017653599058          -0.2553782370712909        -3.004420268946953         -2.0195444519596357       
