#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_u            3031.5547801910097    All      -0.08179342398682357       0.06080601584006473        0.26556158546788833       0.05830012281302574       
Zeropoint     AB|SDSS|SDSS_g            3986.33583000515      All      -0.9804885897003918        0.5175209364445266         -0.5862523360839589       0.4617892365151192        
Zeropoint     AB|SDSS|SDSS_i            6316.76138658539      All      1.049995556196681          -0.0243783675324849        -0.5501020212182128       -0.3745074594905737       
Zeropoint     AB|SDSS|SDSS_r            5208.949241220707     All      0.927838295017619          0.44815870300940475        0.8475246458852892        -0.11842629170095431      
Zeropoint     AB|SDSS|SDSS_z            7510.102731931726     All      0.07730087879772381        -0.0015729436169564792     0.03081708023482399       -0.02431657407899329      
Check         All|All|All               All                   All      0.9928527163248088         1.0005343441445547         0.007548954285829801      0.002839034057623646      
Lambda        AB|SDSS|SDSS_u            3031.5547801910097    All      -4.582553766080023e-05     2.8185121255229777e-05     0.00013672746835661264    3.0209225433513336e-05    
Lambda        AB|SDSS|SDSS_g            3986.33583000515      All      -0.0007789906077818358     0.00032869087344483867     -0.0008667647237499518    0.000322128571359261      
Lambda        AB|SDSS|SDSS_i            6316.76138658539      All      -0.000480385080633556      -2.6793091441984707e-05    -0.0004856482961724473    0.00012607758065665993    
Lambda        AB|SDSS|SDSS_r            5208.949241220707     All      0.00020249913110630664     5.6374467081804284e-05     -0.0009528203461636038    -9.011760633515182e-05    
Lambda        AB|SDSS|SDSS_z            7510.102731931726     All      -1.0546690103985505e-05    -1.1239973666879582e-06    -2.158306191756956e-05    2.106128095957823e-06     
MWEBV         All|All|All               All                   All      -0.6722772947804208        -3.2676169082831663        -0.04124966839660349      -0.847228279502632        
Redshift      All|All|All               All                   All      5.674871468907563          -0.2142514050456512        -4.654053996920893        -2.1259701210199924       
