#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_i            6616.473419099369    All      0.874218880706072          -0.02420953048947183       0.05875255270079984       -0.2900258343568516       
Zeropoint     AB|SDSS|SDSS_g            4175.475919486982    All      -0.8578869679338965        0.5568622129139555         -0.7077668629894309       0.42924596762811074       
Zeropoint     AB|SDSS|SDSS_z            7866.435354999633    All      0.12417660238983544        -0.0037034238154376453     0.06354818129600055       -0.03881886819795473      
Zeropoint     AB|SDSS|SDSS_u            3175.39327419809     All      -0.08449855286214619       0.07596739126967123        0.19245317636720533       0.06085733853228813       
Zeropoint     AB|SDSS|SDSS_r            5456.098796001076    All      0.938768630269019          0.39610956507747375        0.40323406362263253       -0.15876742621343476      
Check         All|All|All               All                  All      0.994778592568884          1.001026214956191          0.01022111099720735       0.0024911773921577895     
Lambda        AB|SDSS|SDSS_i            6616.473419099369    All      -0.00032937565610304713    -2.3671998283567394e-05    -0.0003164280687551781    8.545700729642358e-05     
Lambda        AB|SDSS|SDSS_g            4175.475919486982    All      -0.0008032782495437642     0.0003410585925553903      -0.0013959369004652438    0.00031045390447407694    
Lambda        AB|SDSS|SDSS_z            7866.435354999633    All      5.596043106046329e-06      2.6681048538414693e-06     2.6739186946516945e-05    2.3952128972897776e-07    
Lambda        AB|SDSS|SDSS_u            3175.39327419809     All      -6.012207641941152e-05     5.251469269166398e-05      0.0001286524875739411     4.243067098003434e-05     
Lambda        AB|SDSS|SDSS_r            5456.098796001076    All      0.00018434989272481388     -1.4975935095371785e-06    -0.0007967318896279029    -9.609112544409569e-05    
MWEBV         All|All|All               All                  All      -0.7538632593428853        -3.4021987019851707        0.32839903619883715       -0.8479950406133696       
Redshift      All|All|All               All                  All      3.472595004124611          -0.4267976797674322        1.1602660129801072        -1.2183831401022047       
