#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_i            6616.473419099369    All      0.9392960659439565         -0.0272717432601155       0.19834145364089895       -0.3059918664675143       
Zeropoint     AB|SDSS|SDSS_g            4175.475919486982    All      -0.8865173775695837        0.58715342295379          -0.6552572198809892       0.45078194182399944       
Zeropoint     AB|SDSS|SDSS_z            7866.435354999633    All      0.14235481898410807        -0.00982272854805899      0.053871371912200816      -0.04716520181765327      
Zeropoint     AB|SDSS|SDSS_u            3175.39327419809     All      -0.07308668762429113       0.06533093718381622       0.15210382638389253       0.05187486938850183       
Zeropoint     AB|SDSS|SDSS_r            5456.098796001076    All      0.8729060848378886         0.38578642700315413       0.25961605752997663       -0.14708542604336405      
Check         All|All|All               All                  All      0.9949529045720782         1.0011763153325859        0.008675489585979745      0.002414316883969647      
Lambda        AB|SDSS|SDSS_i            6616.473419099369    All      -0.00031252485977069784    -1.904729185694276e-05    -0.0003087365758160073    8.181780359184433e-05     
Lambda        AB|SDSS|SDSS_g            4175.475919486982    All      -0.0009045043281602314     0.00044027630448855256    -0.0013316173604359242    0.0003786153271234731     
Lambda        AB|SDSS|SDSS_z            7866.435354999633    All      9.91955425211056e-06       3.4299548543865055e-06    3.6059475902736e-05       -5.047072309606582e-07    
Lambda        AB|SDSS|SDSS_u            3175.39327419809     All      -6.11071457794083e-05      5.4480733929422736e-05    0.00012784185943052643    4.335577017941797e-05     
Lambda        AB|SDSS|SDSS_r            5456.098796001076    All      0.00022437498516193527     3.227670021554686e-05     -0.0006645194935016982    -9.222718422023487e-05    
MWEBV         All|All|All               All                  All      -0.7197571834464043        -3.4295331410667984       0.2576421153787145        -0.871165794076062        
Redshift      All|All|All               All                  All      3.2496288410173344         -0.9085628842726123       0.19587654528623877       -1.3457187747836261       
