#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7581.308823775845    All      0.2769918984145546         -0.029739884812673978      0.09962237264016238        -0.09546694403111608       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g            4790.21032410455     All      -0.19312802382769434       0.3726680491862311         -0.08414994243006735       0.18054316967459488        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5356.639963621825    All      0.7308005476586749         0.17948603545345776        0.1567399422435667         -0.17258669059213305       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            6200.702951072523    All      0.9128531167800864         -0.053389469601761164      0.11159493744488103        -0.3097570293002928        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u            3583.534266041592    All      -0.3342860172075006        0.12776768798392624        -0.10123868426212823       0.14598827539007014        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4385.007875182179    All      -0.502439087621633         0.33953876156163076        -0.10170806117542064       0.2697211220854173         
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-3009    5378.15928023487     All      0.100943481039582          0.06489963626963302        -0.06300632511107018       -0.014552348960965994      
Check         All|All|All                              All                  All      0.9917359152360697         1.0012308160404437         0.017854239349923695       0.003889554265574441       
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7581.308823775845    All      -7.262351472189451e-05     5.5587147904776346e-06     -4.8629702756457897e-05    2.329640398525649e-05      
Lambda        Linear_AB11_off|SWOPE|SWOPE_g            4790.21032410455     All      -0.00016203336070449526    4.781783455727366e-06      -0.0008846647833786535     1.4858654344412732e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5356.639963621825    All      0.00017222419911117623     -1.1605929721323339e-05    -0.0010939070299458562     -0.00010869556740556413    
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            6200.702951072523    All      -5.492170835354542e-05     3.104927218793437e-06      -1.03060540089842e-06      1.8855193039874845e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_u            3583.534266041592    All      -0.0003960695073806135     0.00013896327416266426     0.00025098651425769017     0.00018547815439628058     
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4385.007875182179    All      -0.000287941663979768      6.769601120081713e-05      -0.0006129203254174211     8.849107185615582e-05      
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-3009    5378.15928023487     All      1.3591245815317446e-05     7.1115499560362996e-06     -4.262160935815867e-06     -2.30085078419802e-06      
MWEBV         All|All|All                              All                  All      -1.1210936686052082        -3.9982937265909957        -0.019922864850929756      -0.938087781912171         
Redshift      All|All|All                              All                  All      6.207804880200712          0.2921314373511841         7.749723482284265          -1.5810948943897667        
