#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|SDSS|SDSS_i                           7198.533923013616    All      0.2874935481523634         -0.028882897450799305      0.026482508263209192       -0.10187242409482183       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4230.047013121667    All      -0.2588580387336546        0.19493568247765936        -0.030617347367661862      0.14644923277587762        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7313.394561288809    All      0.19713073259372044        -0.015856154336546524      0.0326552927125523         -0.06791958040021084       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5167.342801532659    All      0.2226461591714082         0.19640630351167587        0.15894160839164673        -0.0014543502638686423     
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g            4620.930098754084    All      -0.19427104966310593       0.2886438866803509         -0.01965605687005989       0.15642412265545885        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u            3456.896509646202    All      -0.1326289169840872        0.06771806990535367        0.0029911668634724498      0.06539308688916501        
Zeropoint     AB|SDSS|SDSS_g                           4542.798428599279    All      -0.2200588135687922        0.2041665899053413         -0.14798205832654288       0.13158041090664402        
Zeropoint     AB|SDSS|SDSS_r                           5936.079506788636    All      0.5519128701874013         -0.0027123660439443142     -0.27335735202051736       -0.19285836920461125       
Zeropoint     AB|SDSS|SDSS_z                           8558.456774374306    All      0.17297176453627966        -0.01409316397946725       0.07175188197369453        -0.05773124452291556       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            5981.577626322806    All      0.49519776630685897        0.04025049761047228        0.1892107197706161         -0.1397476873250203        
Zeropoint     AB|SDSS|SDSS_u                           3454.737101677297    All      -0.12229964068316747       0.06407143970665885        0.037282734667989925       0.06237094952421529        
Check         All|All|All                              All                  All      0.9992363813152246         0.9946478879867549         0.04770309805839923        0.0006341469399123723      
Lambda        AB|SDSS|SDSS_i                           7198.533923013616    All      -0.00011536013812366601    -5.2701043602726724e-05    -0.0004565214869422662     3.767127356638954e-08      
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4230.047013121667    All      -0.00020213809363239013    9.294540389732014e-05      -0.00020103468371833304    8.714714848869664e-05      
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7313.394561288809    All      -2.8032960292621848e-05    -1.643460850187507e-05     -0.00013323475105411444    -2.167690261780749e-06     
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5167.342801532659    All      6.057263543126362e-05      6.249468844648819e-05      -0.00024524024529443204    -1.0317869899059486e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_g            4620.930098754084    All      -9.409512317824998e-05     1.360425518997395e-05      -0.0003287054615918169     2.0412615677571666e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_u            3456.896509646202    All      -0.0003054561033237113     0.0001645178990246388      0.000179927100636144       0.00016111531437638498     
Lambda        AB|SDSS|SDSS_g                           4542.798428599279    All      -0.00013519520622919795    3.6603374473717255e-05     -0.00043624799610298673    3.6492705288861895e-05     
Lambda        AB|SDSS|SDSS_r                           5936.079506788636    All      -5.581688309627782e-05     -6.8549249136467845e-06    -2.2217345806383092e-05    1.4957062477901158e-05     
Lambda        AB|SDSS|SDSS_z                           8558.456774374306    All      3.1823879986741464e-06     -2.3481172331055163e-06    -1.0612978739407296e-05    -2.275075999699825e-06     
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            5981.577626322806    All      -3.0008400963474867e-06    -1.990671158889759e-05     -0.00012564870369976668    -1.111392309427301e-05     
Lambda        AB|SDSS|SDSS_u                           3454.737101677297    All      -0.00012421013863741994    4.660108199207537e-05      -4.998521604079347e-05     5.3408223463161753e-05     
MWEBV         All|All|All                              All                  All      -0.9400392022210307        -3.8373719754909885        0.04418850723441892        -0.941784673543597         
Redshift      All|All|All                              All                  All      5.995069078859037          0.012868110737507266       4.627856199160862          -1.7420796966894108        
