#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|SDSS|SDSS_i                           7198.533923013616    All      0.2775403675220323         -0.021795278146807817      0.024618293827915198       -0.09640486625876735       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4230.047013121667    All      -0.2364892180308136        0.1839900421601648         -0.01244701813192296       0.13640847514882898        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7313.394561288809    All      0.17316400583118954        -0.010398810250222823      0.03603788903606065        -0.05818424276334595       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5167.342801532659    All      0.23327082234728333        0.1896110595913214         0.18269082239883438        -0.006068768758085217      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g            4620.930098754084    All      -0.19279300009482125       0.2947169988798848         -0.031161571745673796      0.15740744744154683        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u            3456.896509646202    All      -0.11621036691596462       0.057286077665352764       0.010781422432867359       0.05699462522951799        
Zeropoint     AB|SDSS|SDSS_g                           4542.798428599279    All      -0.21390338371396936       0.19810944266831498        -0.17377724250837548       0.1264512521689371         
Zeropoint     AB|SDSS|SDSS_r                           5936.079506788636    All      0.5498305764064174         0.004270956496554845       -0.29887058826935453       -0.191043938274516         
Zeropoint     AB|SDSS|SDSS_z                           8558.456774374306    All      0.14621654362731437        -0.008381268273183196      0.07073935664348835        -0.04720082086004549       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            5981.577626322806    All      0.5015921966111614         0.04739363262817875        0.17713504165610963        -0.14004269162087807       
Zeropoint     AB|SDSS|SDSS_u                           3454.737101677297    All      -0.12728250451566842       0.062360634281333205       0.015162428349105939       0.06244963891883685        
Check         All|All|All                              All                  All      0.9949360390741611         0.9971634877008917         0.0009088336890547503      0.0007661103720296783      
Lambda        AB|SDSS|SDSS_i                           7198.533923013616    All      -0.00011557817485409214    -4.955051490233646e-05     -0.0004495624354347359     1.4454743639077758e-06     
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4230.047013121667    All      -0.00016067809791207795    6.886703701167086e-05      -0.00020391451981097988    6.567063378164319e-05      
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7313.394561288809    All      -2.673874998500504e-05     -1.510340902982202e-05     -0.00012371583440195564    -1.7308561426335186e-06    
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5167.342801532659    All      7.138848411781943e-05      4.7606137560993796e-05     -0.00023813025559226214    -1.8373352303897574e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_g            4620.930098754084    All      -8.961073602790112e-05     -1.7828552454304725e-05    -0.0003445058886362019     8.008103202096652e-06      
Lambda        Linear_AB11_off|SWOPE|SWOPE_u            3456.896509646202    All      -0.0002834058212157353     0.00012529080285208504     8.10490072324756e-06       0.00013348762067325905     
Lambda        AB|SDSS|SDSS_g                           4542.798428599279    All      -0.00011165476630701795    1.8913362796289606e-05     -0.00037538161686774264    2.5778777717402867e-05     
Lambda        AB|SDSS|SDSS_r                           5936.079506788636    All      -0.00010675901926364896    -3.423630363624854e-06     -8.097744673418551e-06     3.3298370644874844e-05     
Lambda        AB|SDSS|SDSS_z                           8558.456774374306    All      1.1134468823227062e-05     -3.2033172502254696e-06    -9.102015474913731e-06     -5.076469769874825e-06     
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            5981.577626322806    All      -6.16082139569645e-05      -1.914415017890669e-05     -0.00015797034483083387    6.782451640466964e-06      
Lambda        AB|SDSS|SDSS_u                           3454.737101677297    All      -0.00010044776112355811    4.245223395044568e-05      -8.473893777596587e-06     4.616907870569155e-05      
MWEBV         All|All|All                              All                  All      -0.9451510679410964        -3.8286165141887096        0.050747030486352755       -0.9369749521403854        
Redshift      All|All|All                              All                  All      6.184295483312665          0.6022548591536392         4.8496025238372304         -1.6018387877502687        
