#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|PS|PS_i                5648.8285560820095    All      0.44033871599292024        -0.019723677247007743      -3.268144014027563         -0.29569971438491993      
Zeropoint     AB|PS|PS_z                6491.882363660581     All      0.8671555126830888         0.07113702772603148        0.6821652411326679         -0.22884750714067814      
Zeropoint     AB|PS|PS_r                4663.764238982918     All      0.594752159522862          0.6133447605936482         3.052592675746413          0.1422794129146726        
Zeropoint     AB|PS|PS_g                3672.451611596413     All      -0.9005474869852881        0.3349828008916589         -0.4208301457264696        0.38367314589981133       
Check         All|All|All               All                   All      1.0016989012135826         0.9997409119643308         0.04578375712504812        0.0014053372888858662     
Lambda        AB|PS|PS_i                5648.8285560820095    All      -0.0001518153269459816     -1.1158167357775195e-05    0.0006013827668129462      7.265361519269709e-05     
Lambda        AB|PS|PS_z                6491.882363660581     All      -0.0001960057186714583     -8.336958013185594e-06     -0.00011370723524996816    5.605565779447136e-05     
Lambda        AB|PS|PS_r                4663.764238982918     All      -0.00018402881277474037    -0.00016525821866575924    -0.001097069863083359      -4.284298929427983e-05    
Lambda        AB|PS|PS_g                3672.451611596413     All      -0.0015274998090297224     0.0004017839221002705      -0.002318359018779003      0.0005249734676082312     
MWEBV         All|All|All               All                   All      -0.5010343029953428        -2.7749874304527467        -0.043134008493400655      -0.7426262171403908       
Redshift      All|All|All               All                   All      6.121725005651584          0.27940801271508775        -1.5778739143667786        -1.9734481170048028       
