#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|PS|PS_i                5648.8285560820095    All      0.44732158264417965        -0.02088351832600921       -3.1957676715234666        -0.29512223842635305      
Zeropoint     AB|PS|PS_z                6491.882363660581     All      0.9490632509437327         0.10371097114383332        1.3671107043757238         -0.21435117697082254      
Zeropoint     AB|PS|PS_r                4663.764238982918     All      0.4933956494669976         0.5968999260792529         2.707047623880468          0.15451785051592165       
Zeropoint     AB|PS|PS_g                3672.451611596413     All      -0.8882720185547063        0.31957783659120054        -0.8342481325648264        0.3562077723076631        
Check         All|All|All               All                   All      1.0015084645002037         0.9993052154882776         0.044142524167898656       0.0012522074264091354     
Lambda        AB|PS|PS_i                5648.8285560820095    All      -6.723795039476261e-05     2.0022016744780247e-05     0.0009738263771365293      7.188084065382651e-05     
Lambda        AB|PS|PS_z                6491.882363660581     All      -0.00020453278414439303    -1.870782492448806e-05     -0.00028963666192846426    4.760414870869881e-05     
Lambda        AB|PS|PS_r                4663.764238982918     All      -0.00013078079203887003    -0.00011519117818022648    -0.0008246892363801823     -3.172404284216334e-05    
Lambda        AB|PS|PS_g                3672.451611596413     All      -0.0015588037934508871     0.0004901137623214765      -0.0021403674132022396     0.0005718850880011911     
MWEBV         All|All|All               All                   All      -0.49064218197146214       -2.7789016762673313        -0.06042583389846924       -0.7480579262345145       
Redshift      All|All|All               All                   All      5.989575924866744          -0.06583075497399449       -0.17492958138731712       -1.9802514763813686       
