#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7574.725534800879    All      0.2272339330722168         -0.014905497571282567      0.11823795740659726       -0.07359636171947737      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            6195.318522034781    All      0.8482917537188726         -0.028378350687008336      0.046510152530526705      -0.2834847601007162       
Zeropoint     VEGAHST|UVOT|UVOT_u                      3460.203300775934    All      -0.14280648306346055       0.052751909548875986       -0.026218759194757135     0.06252977934939896       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g            4786.050707401489    All      -0.0595472967158549        0.3049634153257763         -0.006473858331551563     0.11844423239420476       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4381.200119203517    All      -0.33323378983887664       0.25853365484738156        -0.08337922282899979      0.18903729353703103       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u            3580.422475957134    All      -0.2651114472430212        0.09356267041433775        -0.11976290663603395      0.11148749167694538       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5351.988483298958    All      0.6375920679885703         0.15338687159069941        0.025436953770618942      -0.1565864279255036       
Zeropoint     VEGAHST|UVOT|UVOT_b                      4337.273170118893    All      -0.16512377109131143       0.12924290531075577        0.010394992941714642      0.09634879167266519       
Zeropoint     VEGAHST|UVOT|UVOT_v                      5388.660775068605    All      0.23579032042094333        0.056183117025465634       0.09267195979182907       -0.05436845110879385      
Check         All|All|All                              All                  All      0.9830852872480782         1.0053406958050015         0.057417269449944186      0.009811587775754305      
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7574.725534800879    All      -6.450049688040829e-05     -1.6518635656501523e-06    -9.432082644338734e-05    1.6262762244955724e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            6195.318522034781    All      -0.00010039734443070417    -2.7647379992989387e-05    -0.0003927653851732537    6.169741585986652e-06     
Lambda        VEGAHST|UVOT|UVOT_u                      3460.203300775934    All      -0.0001236555551706168     4.6121936330608745e-05     -4.284030124494692e-06    5.5110937906895695e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_g            4786.050707401489    All      -0.00012836043022397978    6.223299208415442e-07      -0.0009387043377888555    1.238651035010141e-07     
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4381.200119203517    All      -0.0002811394222016437     8.527867022077869e-05      -0.0005528747872571086    9.468216500592784e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_u            3580.422475957134    All      -0.0003356273492464099     0.00011028336083259053     -7.099476951465986e-05    0.0001420796178030919     
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5351.988483298958    All      0.00012998008192694903     9.898464809094104e-06      -0.0008570731578601373    -7.736177190380904e-05    
Lambda        VEGAHST|UVOT|UVOT_b                      4337.273170118893    All      -2.6451646074333594e-05    2.849105305630273e-05      -8.858494359523543e-05    1.3943505491234225e-05    
Lambda        VEGAHST|UVOT|UVOT_v                      5388.660775068605    All      0.00019560939759992235     1.7955043723894117e-05     -3.702975308842094e-05    -5.952033552089313e-05    
MWEBV         All|All|All                              All                  All      -1.16134041185131          -3.9773376557528994        0.008314363145589532      -0.9168919140555842       
Redshift      All|All|All                              All                  All      4.6210682094904945         -0.08507714845777947       4.209016273258198         -1.345117305704202        
