#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7574.725534800879    All      0.2589933082212266         -0.017354312203066158      0.09664295452370478        -0.0857027803435001        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            6195.318522034781    All      0.836502935485151          -0.024679579340558533      -0.02358900892208297       -0.2815681462697182        
Zeropoint     VEGAHST|UVOT|UVOT_u                      3460.203300775934    All      -0.15939603284778076       0.058831002432535584       -0.006748508971142903      0.07078256988640709        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g            4786.050707401489    All      -0.051952721059075         0.29587897360623394        0.013754372833621638       0.11391402076335998        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4381.200119203517    All      -0.3179983099242455        0.2397990583409726         -0.08040311344326284       0.17810493215748893        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u            3580.422475957134    All      -0.240946874030252         0.08839123334118959        -0.056559024311781836      0.10475228698395032        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5351.988483298958    All      0.6064840442446016         0.14324443125910413        -0.028791921770272996      -0.15217723331206023       
Zeropoint     VEGAHST|UVOT|UVOT_b                      4337.273170118893    All      -0.1999574341431303        0.15323904190176485        0.006552187640072608       0.11534010610800818        
Zeropoint     VEGAHST|UVOT|UVOT_v                      5388.660775068605    All      0.262259871207298          0.060072396175891996       0.0795645695484136         -0.06230851107598481       
Check         All|All|All                              All                  All      0.9939887871537938         0.997422245514068          0.0004225071272690728      0.0011372448979511535      
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7574.725534800879    All      -6.441006355439679e-05     -1.019061073029662e-06     -8.17621098499252e-05      1.6999867567403054e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            6195.318522034781    All      -0.0001279006653062855     -2.0826650236825233e-05    -0.00029860028501078455    2.1552370040059534e-05     
Lambda        VEGAHST|UVOT|UVOT_u                      3460.203300775934    All      -3.489494433564231e-05     1.0737724039787887e-05     1.8781028075033745e-05     1.5702172384921767e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_g            4786.050707401489    All      -0.00010389038584928707    -4.31414113437069e-05      -0.000902817362441945      -2.0500652817252875e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4381.200119203517    All      -0.00022788307702524346    4.60439398761237e-05       -0.0005759809689175434     6.352365607806635e-05      
Lambda        Linear_AB11_off|SWOPE|SWOPE_u            3580.422475957134    All      -0.000315205718521798      6.482381243277992e-05      -0.00027359094059414233    0.00011157901371113368     
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5351.988483298958    All      0.00018013865405888923     -6.112982761104978e-06     -0.0007328079758163874     -9.337013990450791e-05     
Lambda        VEGAHST|UVOT|UVOT_b                      4337.273170118893    All      -6.506274169479932e-05     1.2872534008017464e-05     -0.00013945567026081205    1.9162817223806364e-05     
Lambda        VEGAHST|UVOT|UVOT_v                      5388.660775068605    All      0.0001117645687844147      1.8127351987860833e-05     -5.4262840663819254e-05    -3.292222344218147e-05     
MWEBV         All|All|All                              All                  All      -1.1881535948697541        -3.9725577743079388        -0.011335384259257677      -0.9074778915575579        
Redshift      All|All|All                              All                  All      4.722333453931901          0.6573456284715729         4.3231515443713135         -1.1311778709711588        
