#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4320.742982043212     All      -0.5181187431075001        0.31781539745230347       -0.14610944644491344       0.26577105745825746        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5278.135225513053     All      0.6362075975990498         0.21729881598275824       0.09601114520879062        -0.13216783541455612       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g            4720.006948568088     All      -0.29576472597399994       0.44095600438165405       0.022163187754495703       0.2409632205465863         
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            6109.8279688877765    All      1.1029906350918355         -0.0473068966335255       -0.012053577430195387      -0.37522764554830546       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7470.2002430658895    All      0.34051731659956597        -0.03641782398950966      0.06966956653586535        -0.11967114331389644       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u            3531.0154443604742    All      -0.2716696688517645        0.10587388474254666       -0.029118314509005053      0.12167893957868973        
Check         All|All|All                              All                   All      0.9941624113571867         0.9982193819362273        0.0005625611150377879      0.001346593306775487       
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4320.742982043212     All      -0.00031248039124570675    0.00010813843112929784    -0.0004623817226795949     0.00011637541575501632     
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5278.135225513053     All      0.00023707311904316172     1.7042916127506536e-05    -0.0006397845646690358     -0.00010022172256524858    
Lambda        Linear_AB11_off|SWOPE|SWOPE_g            4720.006948568088     All      -0.00010492077311377388    -5.805213882072124e-05    -0.0007805038025822821     -1.956364386342672e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            6109.8279688877765    All      -0.00015181256088125       -3.75542631330933e-05     -0.0004800096509928888     1.579706044369086e-05      
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7470.2002430658895    All      -6.228481662155812e-05     -9.000970999622987e-06    -0.0001494861971674352     1.0685419091204076e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_u            3531.0154443604742    All      -0.00045966929479981044    0.00012862565544597147    -0.00017990661059179717    0.00018359861387449696     
MWEBV         All|All|All                              All                   All      -1.0402409750451542        -3.945147437683172        -0.0034398987592864586     -0.9463771103478957        
Redshift      All|All|All                              All                   All      5.681855699057936          0.7054450943264179        6.3469010720579835         -1.337747608423314         
