#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|SDSS|SDSS_i            6566.901830289257     All      0.9782250063531195         0.023659492331518095       0.45388043300407244        -0.2906787930619034        
Zeropoint     AB|SDSS|SDSS_z            7807.498868125264     All      0.07072090540782516        0.0021559386969016714      0.09779170695396466        -0.01796987063786004       
Zeropoint     AB|SDSS|SDSS_g            4144.1926417865325    All      -0.7319353012912231        0.6145739004747242         -0.2963535509653781        0.4253774479751435         
Zeropoint     AB|SDSS|SDSS_r            5415.220903974493     All      0.7429066629308663         0.31411842580304494        -0.3679084939923749        -0.15608850189080675       
Zeropoint     AB|SDSS|SDSS_u            3151.602762285119     All      -0.07579817779499712       0.04531895554364951        0.09794105745553061        0.04382249453096232        
Check         All|All|All               All                   All      0.9841190956055906         0.9998267128498384         -0.014648847544185273      0.004462776915535593       
Lambda        AB|SDSS|SDSS_i            6566.901830289257     All      -0.00011431883713624064    -5.837705708124299e-06     -0.00010042527600193196    3.0854354597997287e-05     
Lambda        AB|SDSS|SDSS_z            7807.498868125264     All      3.3925282790203507e-06     -3.2089909733047225e-06    -2.1037779229931366e-05    -3.0891514680213915e-06    
Lambda        AB|SDSS|SDSS_g            4144.1926417865325    All      -0.0008067203489022393     0.0004863911208288063      -0.0014905099752413715     0.0003546943332648136      
Lambda        AB|SDSS|SDSS_r            5415.220903974493     All      0.00020766029861997922     0.00010356684330632483     -0.0006847589649594224     -6.446431059058478e-05     
Lambda        AB|SDSS|SDSS_u            3151.602762285119     All      -8.624213371031916e-05     5.368816965327142e-05      0.00012013976133886704     5.0941189142350286e-05     
MWEBV         All|All|All               All                   All      -0.7558615325360005        -3.3998408825182125        0.1977355368067535         -0.8524070297849142        
Redshift      All|All|All               All                   All      3.572312549626578          -1.0189963463140828        3.581294628457865          -1.3357236260071446        
