#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_i            6566.901830289257     All      0.9271943716331621        0.0093574507300076        0.36942833199752173        -0.28248379134185475      
Zeropoint     AB|SDSS|SDSS_z            7807.498868125264     All      0.10405068656415635       -0.001984639501628749     0.08212903981607426        -0.030874152316281087     
Zeropoint     AB|SDSS|SDSS_g            4144.1926417865325    All      -0.7846926977172707       0.592265168609174         -0.38631912334133667       0.4312808294555966        
Zeropoint     AB|SDSS|SDSS_r            5415.220903974493     All      0.8467407816154121        0.3401212036319379        -0.20168055417103312       -0.17402274068563708      
Zeropoint     AB|SDSS|SDSS_u            3151.602762285119     All      -0.10051612514947243      0.06088576013070224       0.14338311589401198        0.0589724339275747        
Check         All|All|All               All                   All      0.9927770169459877        1.000644943600193         0.006940810195238206       0.0028725790393983597     
Lambda        AB|SDSS|SDSS_i            6566.901830289257     All      -0.0002685946188870067    -1.030448777122294e-05    -0.00023396988370471322    7.369259187239025e-05     
Lambda        AB|SDSS|SDSS_z            7807.498868125264     All      4.062818367080619e-06     7.495739549486045e-07     1.41235762967068e-05       -4.489623646525023e-07    
Lambda        AB|SDSS|SDSS_g            4144.1926417865325    All      -0.0007306565434663912    0.00034002846087734294    -0.0016410574052911939     0.000275524475511023      
Lambda        AB|SDSS|SDSS_r            5415.220903974493     All      0.00023574759998148097    6.945479650421969e-05     -0.0005761599906892351     -7.98784111406145e-05     
Lambda        AB|SDSS|SDSS_u            3151.602762285119     All      -7.150583408896352e-05    4.343284538443103e-05     0.00010182931365574102     4.198348385805573e-05     
MWEBV         All|All|All               All                   All      -0.7812869767643749       -3.382692788385455        0.27372477279170887        -0.8351483771168131       
Redshift      All|All|All               All                   All      4.251503835812217         -0.5118327862156491       4.091820982180542          -1.3689762695339194       
