#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_g            4241.252938081582    All      -0.874045717702756         0.7184392403964068         -0.2873883686393519       0.5058999190865054        
Zeropoint     AB|SDSS|SDSS_r            5542.049695701782    All      0.5505509042626235         0.4761073263775728         0.18702867064090967       -0.015902491859037804     
Zeropoint     AB|SDSS|SDSS_u            3225.41581210025     All      -0.061599246414298175      0.07473450560340211        0.127484156902824         0.05009742068839973       
Zeropoint     AB|SDSS|SDSS_z            7990.356717401503    All      0.20015105332240818        -0.04883470720855598       0.026707536523318254      -0.07991101890139074      
Zeropoint     AB|SDSS|SDSS_i            6720.70390767377     All      1.1787104660301702         -0.2185143139733725        -0.0505554207869352       -0.45737813441412145      
Check         All|All|All               All                  All      0.9937674594981476         1.0019320511954533         0.0032765746407648066     0.0028056946003551797     
Lambda        AB|SDSS|SDSS_g            4241.252938081582    All      -0.0011461000453483043     0.0008394831334814601      -0.0006675861184898041    0.0006169784627350688     
Lambda        AB|SDSS|SDSS_r            5542.049695701782    All      0.00012746656719666552     4.8088052183827156e-05     -0.0004568808409595335    -4.624468736947703e-05    
Lambda        AB|SDSS|SDSS_u            3225.41581210025     All      -3.0442589409697614e-05    3.715205871354277e-05      7.333021469789384e-05     2.5290191380082033e-05    
Lambda        AB|SDSS|SDSS_z            7990.356717401503    All      1.1202152282777599e-05     -1.4880406795442895e-06    1.9265391280399794e-05    -3.273887412673328e-06    
Lambda        AB|SDSS|SDSS_i            6720.70390767377     All      -0.00046381286773426267    5.805618061259072e-05      -0.0001088094952676746    0.00016513424999843062    
MWEBV         All|All|All               All                  All      -0.6073554480266052        -3.6133128102385115        0.030924602856430283      -0.9777591829382981       
Redshift      All|All|All               All                  All      1.4400015018679466         -0.593600091957569         -4.027353846721882        -0.8421332478261934       
