#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_g            4241.252938081582    All      -0.8960802521232215       0.6250959989641203         -0.6277875101168324       0.46748187693854587       
Zeropoint     AB|SDSS|SDSS_r            5542.049695701782    All      0.8933292815284104        0.3235777249742            0.09717847002892596       -0.18125019744633472      
Zeropoint     AB|SDSS|SDSS_u            3225.41581210025     All      -0.06087717182280665      0.07754840156657394        0.21935958946853237       0.0548787743148435        
Zeropoint     AB|SDSS|SDSS_z            7990.356717401503    All      0.1363740082840204        7.707194900063996e-05      0.10140330947851078       -0.03987123222686117      
Zeropoint     AB|SDSS|SDSS_i            6720.70390767377     All      0.9229526387630728        -0.024816989209952567      0.22211188592306286       -0.2988079151796631       
Check         All|All|All               All                  All      0.9956985046294752        1.0014822082439423         0.012265744782199606      0.0024313064005304086     
Lambda        AB|SDSS|SDSS_g            4241.252938081582    All      -0.0007106851677740041    0.0003097378161205178      -0.0011517013515173504    0.0002809901950282231     
Lambda        AB|SDSS|SDSS_r            5542.049695701782    All      1.2671897155652002e-05    -8.424821756352387e-05     -0.0008952308930481748    -7.152011305106705e-05    
Lambda        AB|SDSS|SDSS_u            3225.41581210025     All      -5.049111334786873e-05    5.9789876299875355e-05     0.00016658309676598185    4.335598498523896e-05     
Lambda        AB|SDSS|SDSS_z            7990.356717401503    All      1.0627693623248427e-05    2.9117450574315077e-06     3.747169974428613e-05     -8.411484367588665e-07    
Lambda        AB|SDSS|SDSS_i            6720.70390767377     All      -0.0005404420272244742    -3.3752513408832556e-05    -0.0005953358599897468    0.0001384783390869858     
MWEBV         All|All|All               All                  All      -0.7246836234890854       -3.4901075373852564        0.3361787135448985        -0.8857874365278566       
Redshift      All|All|All               All                  All      2.7612233559101744        0.3540606527728585         -2.899044603679199        -0.913463131544419        
