#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_g            4001.0486667964324    All      -0.9809092845462075        0.4964058460341647         -0.7885895139584154       0.446019012106863         
Zeropoint     AB|SDSS|SDSS_i            6340.075398072021     All      0.9365144769153564         -0.005095064087967671      -0.4125351331470184       -0.32512275382555883      
Zeropoint     AB|SDSS|SDSS_z            7537.821148164744     All      0.031960261853863796       -0.0015516812011284742     -0.001135347081737681     -0.010966607688987079     
Zeropoint     AB|SDSS|SDSS_r            5228.174520602163     All      1.0514872880367008         0.48535971845957704        1.1366571962691863        -0.13368258426327204      
Zeropoint     AB|SDSS|SDSS_u            3042.743694674596     All      -0.044121376909997394      0.02427737010890496        0.06928433257384903       0.0253715637073354        
Check         All|All|All               All                   All      0.9949313653497158         0.9993961893135506         0.0036815346558638495     0.001618630036380464      
Lambda        AB|SDSS|SDSS_g            4001.0486667964324    All      -0.0008425481111330348     0.00035804596889427257     -0.001035839901786596     0.00034484821286076344    
Lambda        AB|SDSS|SDSS_i            6340.075398072021     All      -0.0004176660358781541     -4.5953420532839277e-05    -0.0005575281647192957    9.619910644259652e-05     
Lambda        AB|SDSS|SDSS_z            7537.821148164744     All      -3.7657090268512966e-06    3.603108601290579e-06      4.512289960788474e-05     4.41389409590296e-06      
Lambda        AB|SDSS|SDSS_r            5228.174520602163     All      0.00018952509420722355     5.7733140902205964e-05     -0.0007693928008542122    -7.726344202672465e-05    
Lambda        AB|SDSS|SDSS_u            3042.743694674596     All      -4.241108428350406e-05     2.470696953147876e-05      9.941521128482003e-05     2.6299002528014063e-05    
MWEBV         All|All|All               All                   All      -0.6664814096141258        -3.258447968800482         0.21360651026489652       -0.8347565040000212       
Redshift      All|All|All               All                   All      6.191227642388127          -0.24806778140700203       -3.20648805715672         -2.2405812011809774       
