#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_g            4001.0486667964324    All      -1.0415291693893545       0.549417324693735         -0.6829870376145112       0.4877450390651145        
Zeropoint     AB|SDSS|SDSS_i            6340.075398072021     All      1.0150193120282796        -0.04750204996533114      -0.5370647989815098       -0.37006489884497645      
Zeropoint     AB|SDSS|SDSS_z            7537.821148164744     All      0.06418503199741521       -0.0011943011916315527    0.01951687803521348       -0.020425251106912873     
Zeropoint     AB|SDSS|SDSS_r            5228.174520602163     All      0.9894828530341195        0.4791472686076048        1.1442319009064124        -0.11517127491932773      
Zeropoint     AB|SDSS|SDSS_u            3042.743694674596     All      -0.03289532976210902      0.019732320280851923      0.059383855791315485      0.019792585761032953      
Check         All|All|All               All                   All      0.9942626979083508        0.9996005624252291        0.0030807981369202347     0.0018761999549304145     
Lambda        AB|SDSS|SDSS_g            4001.0486667964324    All      -0.0010310977059439005    0.0004468636832527164     -0.0010853856845123926    0.0004329848698431332     
Lambda        AB|SDSS|SDSS_i            6340.075398072021     All      -0.0003368166638415965    -2.638762372898008e-05    -0.0004724489182194234    8.003372583601153e-05     
Lambda        AB|SDSS|SDSS_z            7537.821148164744     All      -7.839683101319109e-06    -6.59454903168358e-07     -9.123364064157719e-06    1.9317027105410893e-06    
Lambda        AB|SDSS|SDSS_r            5228.174520602163     All      0.00030964171637082517    7.71577243982806e-05      -0.0007203693899418262    -0.0001078744620177768    
Lambda        AB|SDSS|SDSS_u            3042.743694674596     All      -3.900462568513289e-05    2.4391892323574518e-05    8.024312100808541e-05     2.423121354619385e-05     
MWEBV         All|All|All               All                   All      -0.6392240502892457       -3.270730617225759        0.17169071118274346       -0.8495064949525986       
Redshift      All|All|All               All                   All      6.24757024468821          -0.5429248838641598       -2.208142536354458        -2.3104269237892283       
