#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     AB|PS|PS_z                7625.5122253387635    All      0.42172229858962096        0.0053851506711666275     0.5733820383580924         -0.11002729923889111      
Zeropoint     AB|PS|PS_i                6635.2421070299915    All      0.9628298049705417         -0.17102225972625007      -0.2663658837897533        -0.381219606115957        
Zeropoint     AB|PS|PS_r                5478.163224203698     All      0.5349584940112969         0.347251344206434         -0.5096299702105345        -0.08388483899794989      
Zeropoint     AB|PS|PS_g                4313.74493443573      All      -0.921902413764219         0.8175208649788601        0.2073134160243669         0.5758388328138168        
Check         All|All|All               All                   All      0.9976081838072406         0.9991351001302107        0.00469960038217157        0.0007070884610187456     
Lambda        AB|PS|PS_z                7625.5122253387635    All      -6.900474755446053e-05     1.4083373191797623e-06    -5.489155394445062e-05     2.048630032027706e-05     
Lambda        AB|PS|PS_i                6635.2421070299915    All      -0.00042423587120652936    3.5090341798024106e-05    -0.00022569729503947887    0.00013954582527170843    
Lambda        AB|PS|PS_r                5478.163224203698     All      0.00012514521031219085     -3.832363042870742e-06    -0.00046851170886079137    -6.291976464787949e-05    
Lambda        AB|PS|PS_g                4313.74493443573      All      -0.00045234555038885157    0.00024961287275567407    -0.0007079526631759201     0.0001970582763157735     
MWEBV         All|All|All               All                   All      -0.5703608971793117        -3.5183870869742506       0.09194501513690673        -0.9561660334596687       
Redshift      All|All|All               All                   All      3.7225130953950045         1.0179388135297174        -1.1730955335227469        -0.9333186872827047       
