#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|PS|PS_z                7625.5122253387635    All      0.47427981425383026        0.005491841706195544       0.585165756500361          -0.126586405181461        
Zeropoint     AB|PS|PS_i                6635.2421070299915    All      0.9594353587622442         -0.1944144009334181        -0.30805388933687894       -0.38959385750319697      
Zeropoint     AB|PS|PS_r                5478.163224203698     All      0.5215387761381992         0.35548663676063796        -0.3157490802006002        -0.06817907601467214      
Zeropoint     AB|PS|PS_g                4313.74493443573      All      -0.9593643470706742        0.8328280043063074         0.040914263213442936       0.5856018258753171        
Check         All|All|All               All                   All      0.9958896020835993         0.9993920818397228         0.0022770501763247353      0.0012424871759869616     
Lambda        AB|PS|PS_z                7625.5122253387635    All      -2.2979320157087125e-05    -5.2486826113828775e-06    -4.6596010655499865e-05    3.6960860214660486e-06    
Lambda        AB|PS|PS_i                6635.2421070299915    All      -0.0003396490852271431     6.614438853175817e-05      6.278386446139575e-05      0.00013498204012707247    
Lambda        AB|PS|PS_r                5478.163224203698     All      0.00015467925579299783     -5.3346788444378674e-05    -0.0006845122456214596     -9.830756413274153e-05    
Lambda        AB|PS|PS_g                4313.74493443573      All      -0.0005458303755843218     0.0002796116934424977      -0.0009366054789306913     0.0002270772372681807     
MWEBV         All|All|All               All                   All      -0.5684850738948506        -3.52003211113594          0.07946810304804153        -0.9578696765874618       
Redshift      All|All|All               All                   All      3.0283488199292945         1.308769091658668          0.10573580766997104        -0.5554051865211207       
