#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_i                5931.070597828362     All      1.216784795910187          0.06086442759958288       -0.6980178629061458       -0.4076706239507316       
Zeropoint     AB|PS|PS_r                4896.787834577249     All      -0.1972779746612745        0.47607434058853926       -0.3130977560575487       0.20536088686316928       
Zeropoint     AB|PS|PS_g                3855.9445660702477    All      -0.6530703445684398        0.48481002490383673       0.3689275809596368        0.3871086150044778        
Zeropoint     AB|PS|PS_z                6816.247338611699     All      0.6301714999421496         -0.023950315081577855     0.6390988261917613        -0.1845489497835362       
Check         All|All|All               All                   All      0.9966079766226221         0.997798478010381         -0.0030892118122963774    0.00024992813337926245    
Lambda        AB|PS|PS_i                5931.070597828362     All      -0.00010442380060748833    2.5389688174549396e-05    0.000543085022469743      6.651991428677281e-05     
Lambda        AB|PS|PS_r                4896.787834577249     All      -0.00013560055660921265    -8.432465067704701e-07    -0.001207263617411343     -9.979741199645548e-06    
Lambda        AB|PS|PS_g                3855.9445660702477    All      -0.0008449112615669408     0.0005546929742208107     -6.827824734507202e-05    0.00045285020061937347    
Lambda        AB|PS|PS_z                6816.247338611699     All      -0.0005197263207451942     2.4063106628302975e-05    -0.0004671374629274776    0.00015628390715062955    
MWEBV         All|All|All               All                   All      -0.489189098057524         -2.993582194485711        0.03686901363019017       -0.8141179288471828       
Redshift      All|All|All               All                   All      3.751287761927655          -0.10542796310950564      5.914125186666504         -0.9923389493367587       
