#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     AB|PS|PS_i                5931.070597828362     All      1.2212868438799986         0.07104923147913667       -0.5132395646980629        -0.3975737566008133        
Zeropoint     AB|PS|PS_r                4896.787834577249     All      -0.15259677393443583       0.4792930964745423        -0.30980644614537745       0.1920020805495314         
Zeropoint     AB|PS|PS_g                3855.9445660702477    All      -0.6786312356193864        0.46217457394810424       0.1869775087885319         0.3799419310330682         
Zeropoint     AB|PS|PS_z                6816.247338611699     All      0.6057672053267507         -0.013342797488391511     0.6395235345367409         -0.17312549790997026       
Check         All|All|All               All                   All      0.9958260396529274         0.9991741044133917        0.003455032481832543       0.0012447570718160939      
Lambda        AB|PS|PS_i                5931.070597828362     All      -0.00018753089053034645    8.622591623874582e-06     0.00043947224993760246     8.350527048718977e-05      
Lambda        AB|PS|PS_r                4896.787834577249     All      -0.00014583980261673095    -3.729698779972893e-05    -0.0012494447145754886     -2.0401013381055348e-05    
Lambda        AB|PS|PS_g                3855.9445660702477    All      -0.0007662514981742457     0.00045700547910591235    -0.0002776833335262728     0.00038606330963747844     
Lambda        AB|PS|PS_z                6816.247338611699     All      -0.0005112765920873937     1.8550367945711307e-05    -0.00044836999162442364    0.00015257337823470978     
MWEBV         All|All|All               All                   All      -0.4969931724557628        -2.9878317193336557       0.047225463359445496       -0.8092406053412537        
Redshift      All|All|All               All                   All      3.816454435560007          0.2964220412449592        6.162088282614957          -0.8716046578491201        
