#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_g            4088.9264830891834    All      -0.8597270973147273       0.6148281850103743         -0.28279491073812285       0.46769132884494424       
Zeropoint     AB|SDSS|SDSS_i            6479.32688624751      All      1.0319286150446447        -0.0020781498422550726     0.03532953879354359        -0.33523342608214474      
Zeropoint     AB|SDSS|SDSS_r            5343.0045560078015    All      0.7796959586861201        0.35883061443460207        0.18131949426823868        -0.1289982324224004       
Zeropoint     AB|SDSS|SDSS_z            7703.3795597889675    All      0.10382716666958591       -0.004709966987270775      0.024363149792987714       -0.03426689971831185      
Zeropoint     AB|SDSS|SDSS_u            3109.5735919576587    All      -0.06238827628935397      0.033660288015724404       0.04664314776566858        0.03336764675862377       
Check         All|All|All               All                   All      0.9933363667962694        1.000530970631175          0.004860419882315711       0.0025604173807110137     
Lambda        AB|SDSS|SDSS_g            4088.9264830891834    All      -0.0007627470413985673    0.0004216783133313903      -0.0007800167481498436     0.0003509977394897163     
Lambda        AB|SDSS|SDSS_i            6479.32688624751      All      -0.0003009414272735656    -4.085553186162516e-05     -0.0005332933309955789     6.092010067281634e-05     
Lambda        AB|SDSS|SDSS_r            5343.0045560078015    All      0.00016202147992565395    2.776209138194892e-05      -0.0012252187621911983     -9.840858598172614e-05    
Lambda        AB|SDSS|SDSS_z            7703.3795597889675    All      -2.205130406108339e-06    -4.5088404431678225e-07    -2.0152424479123893e-06    4.814847382500194e-07     
Lambda        AB|SDSS|SDSS_u            3109.5735919576587    All      -4.879480804564206e-05    2.6065395868021308e-05     3.444335531383488e-05      2.5921479997282984e-05    
MWEBV         All|All|All               All                   All      -0.7123925692001163       -3.3571812252569444        0.11116403492223838        -0.8565339359193752       
Redshift      All|All|All               All                   All      6.472439606382155         -0.5935929273325868        4.417083863409707          -2.1045250959047594       
