#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|SDSS|SDSS_z            8263.702857886592     All      0.2115783611298112         -0.014061907490514614      0.11515946024877083       -0.06835942103134991       
Zeropoint     AB|SDSS|SDSS_u            3335.755687387307     All      -0.1815540491597747        0.11197826479563133        0.06243859612256694       0.0983994793564162         
Zeropoint     AB|SDSS|SDSS_i            6950.6158552223515    All      0.6591400511044436         -0.02545060803598176       0.27361211170240557       -0.2107836481554384        
Zeropoint     AB|SDSS|SDSS_g            4386.3440976440625    All      -0.6198393181264457        0.6584841766244409         -0.097581369437573        0.4120374094911854         
Zeropoint     AB|SDSS|SDSS_r            5731.64046721233      All      0.9240550338338663         0.26937530711670377        -0.3506817004758692       -0.22890003898448102       
Check         All|All|All               All                   All      0.9933800787819008         1.0003252330102796         0.0029470981603011426     0.0023937806763322522      
Lambda        AB|SDSS|SDSS_z            8263.702857886592     All      4.697269090650583e-06      -1.4529680742454205e-06    2.2169905300688822e-05    -1.0139935305217054e-06    
Lambda        AB|SDSS|SDSS_u            3335.755687387307     All      -0.00013496618599643416    7.465041040538169e-05      4.8619297970467625e-05    7.04486775973192e-05       
Lambda        AB|SDSS|SDSS_i            6950.6158552223515    All      -0.0005288679600254753     -1.608624006034296e-05     -0.0008278480579942506    0.00013008681955046253     
Lambda        AB|SDSS|SDSS_g            4386.3440976440625    All      -0.0003559197885414771     0.00010769832317067266     -0.0009537481430644418    0.0001084542723492903      
Lambda        AB|SDSS|SDSS_r            5731.64046721233      All      -0.00031985889914977467    -9.451222419996624e-05     -0.0006263003449994357    4.545391781266636e-05      
MWEBV         All|All|All               All                   All      -0.8685851300794125        -3.644389843530327         0.10675813897265264       -0.8994067910135705        
Redshift      All|All|All               All                   All      8.166188876290576          1.1480594342859973         8.784445232513706         -1.8940262036319873        
