#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_z            8263.702857886592     All      0.23276885900719033        -0.017056383889269         0.11731967309161484       -0.07614086243742935      
Zeropoint     AB|SDSS|SDSS_u            3335.755687387307     All      -0.1667558652529994        0.10880523663132635        0.07526579525333754       0.09311808333356125       
Zeropoint     AB|SDSS|SDSS_i            6950.6158552223515    All      0.6989286006893797         -0.025040528212372237      0.3705836652177552        -0.21928311621072297      
Zeropoint     AB|SDSS|SDSS_g            4386.3440976440625    All      -0.6426206172867008        0.6863961688887699         -0.11282716359464762      0.4278695324960925        
Zeropoint     AB|SDSS|SDSS_r            5731.64046721233      All      0.8700120173366838         0.24764809365827034        -0.447615441065391        -0.22269942641836224      
Check         All|All|All               All                   All      0.9923329944935536         1.0007525870767253         0.002726528902669001      0.0028642107631391966     
Lambda        AB|SDSS|SDSS_z            8263.702857886592     All      5.725515310244639e-07      1.9501690711004566e-07     3.054340939553268e-05     1.24003663298813e-06      
Lambda        AB|SDSS|SDSS_u            3335.755687387307     All      -0.00014964149402545992    8.649544673473263e-05      5.720087472608328e-05     7.947018260510292e-05     
Lambda        AB|SDSS|SDSS_i            6950.6158552223515    All      -0.0005215327661129548     -4.419680657496177e-06     -0.0007790541735287469    0.00013367513474984375    
Lambda        AB|SDSS|SDSS_g            4386.3440976440625    All      -0.0004005051446858117     0.00013409877823548276     -0.0009473879651178251    0.00013186051195444704    
Lambda        AB|SDSS|SDSS_r            5731.64046721233      All      -0.0002928417507054675     -0.00011617381958188299    -0.0006533167311457717    2.8392032233424702e-05    
MWEBV         All|All|All               All                   All      -0.8899367470917352        -3.6390054873436384        0.1035479001332884        -0.8908412631705678       
Redshift      All|All|All               All                   All      8.199235330665172          0.9757682944400159         8.35292389567951          -1.9801682288329199       
