#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     VEGAHST|UVOT|UVOT_u       3435.8498629413752    All      -0.9648437845983663        0.18550765410756398       -0.2555345228725303       0.36330397689654514       
Zeropoint     VEGAHST|UVOT|UVOT_v       5350.734559817689     All      1.9094566677584788         0.3370430648321765        -0.1755117591819344       -0.5200191250600089       
Zeropoint     VEGAHST|UVOT|UVOT_b       4306.746780962422     All      0.047686310254599074       0.4768708089231133        0.4349727531925418        0.1592103471843298        
Check         All|All|All               All                   All      0.9922991934147116         0.9994215278628538        0.003926471138077092      0.0024951990208660346     
Lambda        VEGAHST|UVOT|UVOT_u       3435.8498629413752    All      -0.0009722544345129936     8.46099609402142e-05      -0.0015142531257019867    0.0002766813411179269     
Lambda        VEGAHST|UVOT|UVOT_v       5350.734559817689     All      0.0008694325014277773      0.00012469845770792464    -0.0009989755884413944    -0.0002871640714450566    
Lambda        VEGAHST|UVOT|UVOT_b       4306.746780962422     All      -5.4222494450236977e-05    3.998867982572008e-05     -0.0014087727962105044    -3.217938071820263e-05    
MWEBV         All|All|All               All                   All      -1.6131952183522031        -3.8974173460808004       -0.1096220197666975       -0.7489382229435293       
Redshift      All|All|All               All                   All      -0.26681922661510304       -1.281873448020665        -2.7081023477049104       -0.45148672411763346      
