#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|SDSS|SDSS_z            7541.283658353289     All      0.0641687814571335         0.00021272541719241644     0.10917027270620494       -0.015960823674003588      
Zeropoint     AB|SDSS|SDSS_i            6342.98772183647      All      1.0116058762692237         0.027649473806334868       -0.054651640975977855     -0.32294582321713283       
Zeropoint     AB|SDSS|SDSS_u            3044.141383852523     All      -0.08529434069929202       0.033820955979990686       0.06820146977940533       0.041843289263537864       
Zeropoint     AB|SDSS|SDSS_r            5230.576090921921     All      0.8774356785777104         0.4539424085169941         0.7369265727940499        -0.10506004221105258       
Zeropoint     AB|SDSS|SDSS_g            4002.8865548945096    All      -0.8755989556790258        0.48446836350404254        -0.8556884749747362       0.40483322414056333        
Check         All|All|All               All                   All      0.9923170399257497         1.0000939272245546         0.003958199328946144      0.0027098243019121893      
Lambda        AB|SDSS|SDSS_z            7541.283658353289     All      -1.0777026416003791e-05    1.7043963601774297e-07     -9.406126778639894e-06    3.1461976167256903e-06     
Lambda        AB|SDSS|SDSS_i            6342.98772183647      All      -0.00050588702471189       -2.1007459068246552e-05    -0.0005293409512063727    0.00013431917111673305     
Lambda        AB|SDSS|SDSS_u            3044.141383852523     All      -5.574787339000426e-05     2.5049585206040684e-05     9.590475038417005e-05     3.059817895722353e-05      
Lambda        AB|SDSS|SDSS_r            5230.576090921921     All      9.36104575517772e-05       3.067774339163086e-05      -0.0008543880160782363    -5.8626668522105774e-05    
Lambda        AB|SDSS|SDSS_g            4002.8865548945096    All      -0.0006002778243127186     0.0002231053186431987      -0.0012290940268649324    0.00021335415676723831     
MWEBV         All|All|All               All                   All      -0.7543035881759979        -3.2365619520382083        0.19167452430390863       -0.7999996592939984        
Redshift      All|All|All               All                   All      5.862182279844204          0.06489069224198118        -1.7106646266518144       -1.9647077007991924        
