#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_g                3767.006687573148    All      -0.5354105363619583       0.5242215064916067         0.5029039029639578        0.36759930865134444       
Zeropoint     AB|PS|PS_r                4783.842766515351    All      -0.05002753723929382      0.2961118328256518         -0.16453074322467431      0.10540672906943493       
Zeropoint     AB|PS|PS_i                5794.269659135156    All      -0.006744510728416753     0.16605596795375988        -1.9898013311859422       -0.032508893710194615     
Zeropoint     AB|PS|PS_z                6659.029679690463    All      1.5804092248896149        0.018581520921578942       1.6614676982760068        -0.43459499325870454      
Check         All|All|All               All                  All      0.9882266405599457        1.0049708281925973         0.010039526829348056      0.00590215075188022       
Lambda        AB|PS|PS_g                3767.006687573148    All      -0.0010449369468229638    0.0010228604611605607      0.0009801840092275981     0.0007172907548038129     
Lambda        AB|PS|PS_r                4783.842766515351    All      -5.636593098695283e-07    5.18349071909422e-06       -3.479008787852466e-06    1.7167836563608992e-06    
Lambda        AB|PS|PS_i                5794.269659135156    All      -2.254914735001228e-06    -2.2685467255513087e-05    0.000985538292141469      3.732514446347538e-05     
Lambda        AB|PS|PS_z                6659.029679690463    All      -0.001478645238206993     -5.3914513774485466e-05    -0.0017396179533887076    0.00038645050971278656    
MWEBV         All|All|All               All                  All      -0.4418452899898804       -2.904627943468796         0.01661602771761837       -0.801467836378372        
Redshift      All|All|All               All                  All      6.256638100719134         0.4946626628969497         1.2452230130192476        -1.8212963794913835       
