#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_g                3767.006687573148    All      -0.4727264074674088        0.4823055688783384        0.556688560766383         0.335927788003499         
Zeropoint     AB|PS|PS_r                4783.842766515351    All      -0.10838207830930235       0.2664814005575167        -0.4298215035431152       0.10292440810469455       
Zeropoint     AB|PS|PS_i                5794.269659135156    All      0.07094913166601913        0.13002905069665616       -2.384991476084508        -0.08718694240812397      
Zeropoint     AB|PS|PS_z                6659.029679690463    All      1.5022161677290748         0.1243449081977488        2.272242347297837         -0.34741825991906267      
Check         All|All|All               All                  All      0.9920568136183826         1.00316092833026          0.01411792843659665       0.0042469937810069025     
Lambda        AB|PS|PS_g                3767.006687573148    All      -0.0010884430485754216     0.0010981778298423076     0.001218179164366569      0.0007666160990019379     
Lambda        AB|PS|PS_r                4783.842766515351    All      -1.1336915395513437e-06    7.82861763136832e-06      -3.063428428250718e-05    1.5522515388326318e-06    
Lambda        AB|PS|PS_i                5794.269659135156    All      -7.339781399960256e-05     9.485564350986014e-05     0.0010578836480481817     0.0001020141750137015     
Lambda        AB|PS|PS_z                6659.029679690463    All      -0.0013737789287562967     -3.334627205315251e-05    -0.0016530609814140625    0.0003628544958467158     
MWEBV         All|All|All               All                  All      -0.43585176133149917       -2.909798947508868        0.01665957392327222       -0.8051025487133163       
Redshift      All|All|All               All                  All      7.275736103665966          -0.2719580729696247       2.267769369331596         -2.35733217362774         
