#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_r                5031.768203677387     All      -0.4126826240706749        1.1146402922726395         2.6930450919419924        0.6176775550291099         
Zeropoint     AB|PS|PS_z                7004.137770610184     All      0.6462568127269612         -0.1754857247231456        0.18446382949263151       -0.25943680547544506       
Zeropoint     AB|PS|PS_i                6094.561058411686     All      1.3304865668866273         -0.21339101579744835       -1.8283996621513032       -0.5844848001299037        
Zeropoint     AB|PS|PS_g                3962.2340028072526    All      -0.5668907547942917        0.26875050520764887        -1.0683002919706253       0.2245225146586205         
Check         All|All|All               All                   All      0.9971700007486218         0.9945140569596944         -0.0191910326873046       -0.001721535917618311      
Lambda        AB|PS|PS_r                5031.768203677387     All      -4.552647652898126e-05     -0.0001564936803659586     -0.0013757764863732472    -9.754025487625804e-05     
Lambda        AB|PS|PS_z                7004.137770610184     All      -0.00033485996598870343    0.00016313948167123144     0.0002477167580197142     0.0001732692649865263      
Lambda        AB|PS|PS_i                6094.561058411686     All      -0.00021855544991497444    -0.00013761382496267242    -0.001492110698129493     -4.0220697293628204e-05    
Lambda        AB|PS|PS_g                3962.2340028072526    All      -0.0005550037704812564     0.0002773407332185809      -0.0009449042635826249    0.0002289552506804618      
MWEBV         All|All|All               All                   All      -0.5051162800599434        -3.1167641275972713        0.08510262509918709       -0.8469018853090357        
Redshift      All|All|All               All                   All      6.329111626996478          -0.9175399909700843        0.0771450745012836        -2.357030209368041         
