#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|PS|PS_r                5031.768203677387     All      -0.3889095966117433        1.008277273897562          2.122388215799452          0.5498221681022248         
Zeropoint     AB|PS|PS_z                7004.137770610184     All      0.6583719272269736         -0.12410233811248617       0.46118548414917376        -0.23429702085049608       
Zeropoint     AB|PS|PS_i                6094.561058411686     All      1.2855269679009018         -0.1737078213034593        -1.6477266209620505        -0.5488512496013558        
Zeropoint     AB|PS|PS_g                3962.2340028072526    All      -0.559409454365737         0.28576993694411357        -0.9531144186077429        0.23276961431941037        
Check         All|All|All               All                   All      0.9955798441503954         0.9962370514257302         -0.017267339621167777      -0.0005564880302166564     
Lambda        AB|PS|PS_r                5031.768203677387     All      -0.0001045520503492086     -0.00013388685171959153    -0.0015528049673152458     -7.884986380865525e-05     
Lambda        AB|PS|PS_z                7004.137770610184     All      -0.000363001705264601      0.00013001676300477172     -1.0960793672976224e-05    0.00016010320506064333     
Lambda        AB|PS|PS_i                6094.561058411686     All      -0.00023691765871047926    -0.00014734800257472963    -0.0016027674672854796     -4.2348367062658346e-05    
Lambda        AB|PS|PS_g                3962.2340028072526    All      -0.0005908249969678054     0.00029393148229463195     -0.0010630745652809024     0.00024075415759575042     
MWEBV         All|All|All               All                   All      -0.5023320125898039        -3.118222808504889         0.08604343406445498        -0.8482419692013861        
Redshift      All|All|All               All                   All      6.561111916782953          -0.5583660568969862        3.8385984899778567         -2.147749179333216         
