#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     VEGAHST|UVOT|UVOT_u       3420.8108687812532    All      -0.6868982006929508       0.13598012116027292       0.12926181441205226       0.2738069024194381         
Zeropoint     VEGAHST|UVOT|UVOT_b       4287.89580019443      All      -0.37549756006548235      0.5259900855942412        -0.4705319206617514       0.2726465057097927         
Zeropoint     VEGAHST|UVOT|UVOT_v       5327.313959672905     All      2.0479828821475605        0.33794216050484494       0.35080968625681364       -0.5413614966206944        
Check         All|All|All               All                   All      0.9855871213891271        0.9999123672593591        0.009539580007114468      0.005091911508536384       
Lambda        VEGAHST|UVOT|UVOT_u       3420.8108687812532    All      -0.0002656665891915511    -6.158932445398088e-05    0.0004367601663624141     8.596527932547914e-05      
Lambda        VEGAHST|UVOT|UVOT_b       4287.89580019443      All      -0.0004115417458402527    -3.652027911586398e-06    -0.0030339151283649037    -2.526597608249356e-06     
Lambda        VEGAHST|UVOT|UVOT_v       5327.313959672905     All      0.0008918978276145567     0.00012064117863263786    0.00025322874711864785    -0.00023992322821715447    
MWEBV         All|All|All               All                   All      -1.5336419791753624       -3.874139205756588        0.07767387103133006       -0.7589107186481869        
Redshift      All|All|All               All                   All      -0.7053948421210675       -0.3684492458895683       -2.4507849732870923       0.00038698856389820363     
