#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     VEGAHST|UVOT|UVOT_u       3420.8108687812532    All      -1.3446436521231182       0.2008118093137945        -0.12630665784854056       0.49776920173018324        
Zeropoint     VEGAHST|UVOT|UVOT_b       4287.89580019443      All      0.42555817328643264       0.4443305598713643        0.7037183248973067         0.037518500682691414       
Zeropoint     VEGAHST|UVOT|UVOT_v       5327.313959672905     All      2.0361321035413993        0.33504260248955475       -0.6232245638258416        -0.581912464591526         
Check         All|All|All               All                   All      1.117046624704714         0.9801849716747135        -0.04581289677707545       -0.04662476217865141       
Lambda        VEGAHST|UVOT|UVOT_u       3420.8108687812532    All      -0.0010638896124959313    -3.072962505934572e-05    -0.00016053886066828705    0.00032937008583877207     
Lambda        VEGAHST|UVOT|UVOT_b       4287.89580019443      All      0.0006567516654165064     7.374712405855776e-05     -0.0013626297590344566     -0.00025071166721357305    
Lambda        VEGAHST|UVOT|UVOT_v       5327.313959672905     All      0.0007916576497127894     8.107277232877309e-05     -0.0019399120982608205     -0.0003180302393634361     
MWEBV         All|All|All               All                   All      -1.6745987003518685       -3.89622609099618         -0.5036236185046894        -0.7461315395372814        
Redshift      All|All|All               All                   All      0.025033450349258857      -0.9139614925953943       -2.3524720009080236        -0.4108415658205383        
