#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_z                6596.351701833956    All      0.7877024303978198         -0.06306655233601077      0.12794488399534812       -0.27141385460145534      
Zeropoint     AB|PS|PS_r                4738.81494633561     All      -0.10989642032076763       0.6651973873328387        1.137984763288385         0.3032565863922199        
Zeropoint     AB|PS|PS_i                5739.731216920736    All      0.989431952850177          0.09800111799371791       -0.8160144552068319       -0.326783327433158        
Zeropoint     AB|PS|PS_g                3731.549815760557    All      -0.6729675415759759        0.2989802147091325        -0.45010579890247465      0.29650920580959916       
Check         All|All|All               All                  All      0.9942704213512532         0.9991121676996784        -0.000190606825573425     0.0015686101672057196     
Lambda        AB|PS|PS_z                6596.351701833956    All      -0.00044375951741672313    1.9904803036086376e-05    -0.000252171186903875     0.00013977748138338067    
Lambda        AB|PS|PS_r                4738.81494633561     All      -0.00010287239606336727    1.1406379474309105e-06    -0.0004532150859251102    1.3655559361256707e-05    
Lambda        AB|PS|PS_i                5739.731216920736    All      -0.00015882349760377459    -8.73484936461347e-06     0.0003812144446926987     6.590066031337486e-05     
Lambda        AB|PS|PS_g                3731.549815760557    All      -0.0010295163637599456     0.0004671676686217309     -0.000690782514275308     0.00045669277782604535    
MWEBV         All|All|All               All                  All      -0.4770647929204226        -2.8525566534593594       -0.03611288060021128      -0.7753874023391419       
Redshift      All|All|All               All                  All      4.36346552510027           0.3764284404788043        0.5207052660736187        -1.2754724635730879       
