#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     AB|PS|PS_z                6596.351701833956    All      0.7416947060320453         -0.08148050650689243      -0.06806464605693674       -0.27117266092792774      
Zeropoint     AB|PS|PS_r                4738.81494633561     All      -0.15181767146751712       0.703484879316818         1.2622347589486826         0.3349279194658973        
Zeropoint     AB|PS|PS_i                5739.731216920736    All      0.9785456767531038         0.09993537273693676       -0.9271009980413858        -0.3275645409602075       
Zeropoint     AB|PS|PS_g                3731.549815760557    All      -0.5745922212281153        0.2769246492619004        -0.26944553735864796       0.2653429419778114        
Check         All|All|All               All                  All      0.9938304900895168         0.9988643948087628        -0.0023764225082878454     0.0015336595555734411     
Lambda        AB|PS|PS_z                6596.351701833956    All      -0.00044303795148424363    3.077318925433158e-05     -0.00010866206322124852    0.00014948678764731732    
Lambda        AB|PS|PS_r                4738.81494633561     All      -0.00010042506483697794    3.1118348678523245e-05    -0.0003989134491791048     2.5046342338098967e-05    
Lambda        AB|PS|PS_i                5739.731216920736    All      -0.0001597725515429164     2.1269650208476988e-05    0.0004714380855548911      8.000951774345716e-05     
Lambda        AB|PS|PS_g                3731.549815760557    All      -0.0010344170324999803     0.0004979454024697338     -0.0006392320980303677     0.00047061486564806305    
MWEBV         All|All|All               All                  All      -0.46427142330237636       -2.855666624358122        -0.019651872989551178      -0.7798330643828385       
Redshift      All|All|All               All                  All      3.5332591357949013         -0.03443773506504044      -2.860059106613644         -1.2897475467315997       
