#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|SDSS|SDSS_u            3298.389740254562     All      -0.09789172927790457       0.07777861857984902       0.06799981366096546       0.06025613105189117        
Zeropoint     AB|SDSS|SDSS_i            6872.757531973963     All      0.8475020742236709         -0.06590220404216751      0.132883905514005         -0.29159582514997384       
Zeropoint     AB|SDSS|SDSS_g            4337.2098333217955    All      -0.7927321938021217        0.6976947697717506        -0.17473891405920502      0.4776833004390102         
Zeropoint     AB|SDSS|SDSS_r            5667.436672104811     All      0.8578577211540876         0.3013410995317045        -0.135207454486485        -0.1873094602237888        
Zeropoint     AB|SDSS|SDSS_z            8171.13580170918      All      0.17965787900916047        -0.009866397165403384     0.11398602310535894       -0.05664761922121488       
Check         All|All|All               All                   All      0.9943937513068927         1.0010458866757332        0.004923373734639358      0.002386526895923842       
Lambda        AB|SDSS|SDSS_u            3298.389740254562     All      -8.564337853042165e-05     6.343275253520353e-05     5.280356394800989e-05     5.091538088811158e-05      
Lambda        AB|SDSS|SDSS_i            6872.757531973963     All      -0.0006517541756818296     -5.832874257042675e-05    -0.0009700292168346487    0.00015001023791695635     
Lambda        AB|SDSS|SDSS_g            4337.2098333217955    All      -0.0005254138207325437     0.00029780847938448067    -0.0005654018902221248    0.00024291929679367858     
Lambda        AB|SDSS|SDSS_r            5667.436672104811     All      -0.00025241162695591255    -0.000151180971164049     -0.0010076414859327872    -1.1992256606165576e-05    
Lambda        AB|SDSS|SDSS_z            8171.13580170918      All      1.3671988292469781e-05     1.0230859299226606e-06    3.434216680765059e-05     -2.5876304592504855e-06    
MWEBV         All|All|All               All                   All      -0.7732279827185673        -3.621762990602484        0.10931261907790861       -0.9229834459512193        
Redshift      All|All|All               All                   All      7.086721118563935          1.9196793889376451        7.915846710494536         -1.3298275994425208        
