#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|SDSS|SDSS_u            3298.389740254562     All      -0.0917242789958195       0.07928916479880144        0.0924523654718401        0.05983042927174692        
Zeropoint     AB|SDSS|SDSS_i            6872.757531973963     All      0.8166421723128895        -0.028671370536414997      0.1870457631701905        -0.2669994375553708        
Zeropoint     AB|SDSS|SDSS_g            4337.2098333217955    All      -0.7289559230962819       0.6505331493048772         -0.22719475168822         0.4392063164234114         
Zeropoint     AB|SDSS|SDSS_r            5667.436672104811     All      0.845711443072746         0.30265572062457835        -0.1408723401775669       -0.18317760034283204       
Zeropoint     AB|SDSS|SDSS_z            8171.13580170918      All      0.15197096393336532       -0.00141363066479272       0.1004120383344409        -0.04548148056884027       
Check         All|All|All               All                   All      0.9936443772268994        1.0023930335270492         0.011843075110684609      0.003378227228115205       
Lambda        AB|SDSS|SDSS_u            3298.389740254562     All      -7.96382608360873e-05     5.108693142716077e-05      9.227475823708866e-06     4.299327571696944e-05      
Lambda        AB|SDSS|SDSS_i            6872.757531973963     All      -0.0006715975311618177    -6.539690573594967e-05     -0.0007812143370409445    0.00016259747923493768     
Lambda        AB|SDSS|SDSS_g            4337.2098333217955    All      -0.000514789942301339     0.0002546879170733058      -0.0006478736134106193    0.00022173263007732575     
Lambda        AB|SDSS|SDSS_r            5667.436672104811     All      -0.0002925833913149634    -0.00016476953152794928    -0.0007360973028550828    8.784537229924347e-06      
Lambda        AB|SDSS|SDSS_z            8171.13580170918      All      5.240810393282064e-06     -5.9782530260838e-07       1.0296132028380918e-05    -1.4423666475577392e-06    
MWEBV         All|All|All               All                   All      -0.8234528593301236       -3.566546862049158         0.21099372132578065       -0.8841002810740725        
Redshift      All|All|All               All                   All      7.076838041743419         2.095131604450451          5.481202794215512         -1.3781047734480272        
