#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_z                6046.923479226257     All      0.2673701664329361         -0.007851643858636237      -0.9169566936485577       -0.1305683639483468       
Zeropoint     AB|PS|PS_i                5261.653263636057     All      1.456637361558078          0.4542852725698765         1.018104903969247         -0.28106570591023283      
Zeropoint     AB|PS|PS_g                3420.7387984711977    All      -0.7446510053431324        0.15617042136888415        -0.5046735951745811       0.2709059101541039        
Zeropoint     AB|PS|PS_r                4344.106054068981     All      0.014157454985902096       0.3958464972084741         0.4041100346498402        0.1423622530845603        
Check         All|All|All               All                   All      0.9935139776337838         0.9984505472885985         0.0005846497959482999     0.001634093380084578      
Lambda        AB|PS|PS_z                6046.923479226257     All      -0.00010903303311593703    -1.2432175523467604e-05    5.11512147803807e-05      3.374872117830019e-05     
Lambda        AB|PS|PS_i                5261.653263636057     All      0.00019334729106556988     7.677394461069939e-05      -0.0009379301729552207    -7.9827289951054e-05      
Lambda        AB|PS|PS_g                3420.7387984711977    All      -0.0009275581170345272     -3.391141181759101e-05     -0.0023866705376758435    0.00018458398747731128    
Lambda        AB|PS|PS_r                4344.106054068981     All      -0.0003225152099560626     -0.00013532125077150378    -0.0013804710738801547    -6.288527482157526e-07    
MWEBV         All|All|All               All                   All      -0.5342339750046845        -2.4434252197368167        0.14921461117823262       -0.6152276361565845       
Redshift      All|All|All               All                   All      2.473466204764888          0.6291032814990771         2.2775741837687957        -0.4991320065438065       
