#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_z                6046.923479226257     All      0.3437932996089916         -0.02577499951552653       -1.0233869848357664       -0.1660496143475629        
Zeropoint     AB|PS|PS_i                5261.653263636057     All      1.4827710478142824         0.44659689850714557        1.0843011549341277        -0.2891286290166649        
Zeropoint     AB|PS|PS_g                3420.7387984711977    All      -0.7240392202276933        0.1719058620452074         -0.42612601740765044      0.27282274198307904        
Zeropoint     AB|PS|PS_r                4344.106054068981     All      -0.10955606170281296       0.4060639655749654         0.36555750632488593       0.18426755884178753        
Check         All|All|All               All                   All      0.9929690654927678         0.9987917266117918         0.0003456590155967998     0.0019120574606387164      
Lambda        AB|PS|PS_z                6046.923479226257     All      -8.125419215308807e-05     -6.6701781288366385e-06    4.019061069181416e-05     2.6087989475254068e-05     
Lambda        AB|PS|PS_i                5261.653263636057     All      0.0003386473009988004      0.0001204706818429936      -0.0009292754278136078    -0.00011253659699227073    
Lambda        AB|PS|PS_g                3420.7387984711977    All      -0.0008801128017780062     0.00018650599652037447     -0.0007163690349085243    0.0003154645734579521      
Lambda        AB|PS|PS_r                4344.106054068981     All      -0.00028061171042916434    -8.40719496622205e-05      -0.001216487907347099     9.733197869834295e-06      
MWEBV         All|All|All               All                   All      -0.5348588944936146        -2.472400014479881         -0.10837092671993181      -0.6359569827188589        
Redshift      All|All|All               All                   All      2.055930541092545          -0.03890684177942916       -0.054599319796581024     -0.684793970581142         
