#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_g                3736.655311099847    All      -0.7203264726877052        0.424320237964082          -0.05682964255449008      0.3703130454794209        
Zeropoint     AB|PS|PS_z                6605.376810577725    All      0.9791459618260193         0.053570060427610144       1.3577003718134417        -0.24090258972637385      
Zeropoint     AB|PS|PS_r                4745.298578825277    All      -0.06420613270582542       0.3667044210647674         -0.4304851403855725       0.1211511692305438        
Zeropoint     AB|PS|PS_i                5747.584300069459    All      0.8029582956139527         0.15440139766802474        -0.8584149692351328       -0.24956343606877565      
Check         All|All|All               All                  All      0.9975716520464413         0.9989961171244843         0.011970619638246305      0.0009981889148152068     
Lambda        AB|PS|PS_g                3736.655311099847    All      -0.0008383321468890665     0.0006411848848652901      0.001096726927622839      0.0005308692576021778     
Lambda        AB|PS|PS_z                6605.376810577725    All      -0.0006444733239286084     -2.2828479785707124e-05    -0.0006492450988042926    0.00017351735036049294    
Lambda        AB|PS|PS_r                4745.298578825277    All      -0.00015629100962942586    -2.676921376176049e-05     -0.0008507585688862776    4.2240625179952224e-06    
Lambda        AB|PS|PS_i                5747.584300069459    All      -0.0003531239592461035     -9.9692773786932e-05       0.0003177202807068024     9.672927163387735e-05     
MWEBV         All|All|All               All                  All      -0.4925706350287813        -2.841330045224133         -0.005155915216592533     -0.7652982966058713       
Redshift      All|All|All               All                  All      4.6152553778528596         0.05743635296227012        -3.5511419742943584       -1.6431027607064874       
