#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5330.213520782052     All      0.6776853702849274         0.18190872706416172       -0.4359864999557761        -0.1809468383435528        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            6170.11240864         All      1.0809384834680145         -0.04941025916309627      0.14754642997587553        -0.36160745333042865       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7543.90720155692      All      0.2426236863671154         -0.033741800302866665     0.15254402115139065        -0.083213992108222         
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g            4766.578304745375     All      -0.16214879030166085       0.4332047025483732        0.27873813967986827        0.2063650221453342         
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u            3565.8552612757235    All      -0.382924772100493         0.12987125364176677       -0.08587297903632773       0.1632024194183332         
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4363.374881224694     All      -0.47323810118156917       0.32100940451282867       -0.05389517622162998       0.2563074483882849         
Check         All|All|All                              All                   All      0.9829358765363342         0.9828420283011674        0.003073935593400634       0.0001066061697488907      
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5330.213520782052     All      0.00022967952745974355     -1.458014102567422e-05    -0.0010932421297642691     -0.00012834978510199436    
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            6170.11240864         All      1.054009382968833e-05      -7.253394027803714e-06    3.4131544000349395e-05     -4.272790335323836e-06     
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7543.90720155692      All      -3.480337703305098e-05     3.5451346960748e-06       -4.6214995263527844e-05    1.0429008917922627e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_g            4766.578304745375     All      -8.086448943495137e-05     -4.620223218435239e-05    -0.00042983723355811813    -7.891024021779548e-06     
Lambda        Linear_AB11_off|SWOPE|SWOPE_u            3565.8552612757235    All      -0.00034144955540700854    9.069835824668676e-05     0.00024512300169834863     0.00015170350647764465     
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4363.374881224694     All      -0.00024093526899569622    6.752713751218207e-05     -0.0006171671696740088     7.293501767509417e-05      
MWEBV         All|All|All                              All                   All      -1.1396818880873476        -3.983980786854424        -0.022408764583747853      -0.9274817262264007        
Redshift      All|All|All                              All                   All      3.935796356849071          0.5301878169424512        7.071484094208191          -0.7937508856677843        
