#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_r                5102.087945654244    All      0.16024479276634518        0.525990693857814          1.3718897436831283        0.18035661106711973       
Zeropoint     AB|PS|PS_z                7102.021683553493    All      0.551349392656413          -0.118866566602982         -0.2782662960610718       -0.23072913414324495      
Zeropoint     AB|PS|PS_i                6179.733495563401    All      1.089265042246142          0.05775040216082772        -0.3547620201352929       -0.351829653695065        
Zeropoint     AB|PS|PS_g                4017.606838250211    All      -0.8051728959455453        0.533488744499877          -0.7441634410196256       0.40283754039926184       
Check         All|All|All               All                  All      0.995686331723355          0.9983632739155368         -0.005302013532861971     0.0006353636280715946     
Lambda        AB|PS|PS_r                5102.087945654244    All      -0.00011724109812602545    -3.452811934504054e-05     -0.0010200456667255743    -1.857761484052729e-05    
Lambda        AB|PS|PS_z                7102.021683553493    All      -0.00045395229353691416    4.973894953197226e-05      -0.0008959554509797389    0.00012408643201454795    
Lambda        AB|PS|PS_i                6179.733495563401    All      -0.0003487913720306993     -1.8982194430942767e-05    -0.0006955067142287049    7.639242923466578e-05     
Lambda        AB|PS|PS_g                4017.606838250211    All      -0.0006859424346643065     0.0004235927165626257      -0.0008672087090056741    0.0003227125596394641     
MWEBV         All|All|All               All                  All      -0.5137991565726305        -3.1889232755434094        0.01276457989455746       -0.87080630994307         
Redshift      All|All|All               All                  All      9.233352630938594          -0.9643919979238191        4.131048074906596         -3.137391219088016        
