#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_r                5102.087945654244    All      0.20051228496193974       0.533387338176361          1.43665976552394          0.1725398830915964         
Zeropoint     AB|PS|PS_z                7102.021683553493    All      0.5252823409729208        -0.11858351440974246       -0.41476766422556266      -0.2282374675509985        
Zeropoint     AB|PS|PS_i                6179.733495563401    All      1.0985272249091602        0.05967783394744686        -0.20716332271401017      -0.34763217139203023       
Zeropoint     AB|PS|PS_g                4017.606838250211    All      -0.8280533230461449       0.5236648279504763         -0.8193202134587407       0.4037365738608384         
Check         All|All|All               All                  All      0.9962685277978759        0.9981464856645417         -0.004591434874373634     0.0004068180094060625      
Lambda        AB|PS|PS_r                5102.087945654244    All      -8.30639002455922e-05     -5.112298465587795e-05     -0.0007381691725156939    -2.2536892848513296e-05    
Lambda        AB|PS|PS_z                7102.021683553493    All      -0.0004658858226662761    3.560289065932799e-05      -0.0010937985525817854    0.00011454016665208453     
Lambda        AB|PS|PS_i                6179.733495563401    All      -0.0004286761884576766    -2.4833260375382944e-05    -0.0006547564056594739    0.00010232615651692045     
Lambda        AB|PS|PS_g                4017.606838250211    All      -0.0005868180362947569    0.00035909790020818844     -0.0006803276990518323    0.0002777560396523923      
MWEBV         All|All|All               All                  All      -0.5168843649680865       -3.1857105675561215        0.022056497265288133      -0.8683402157858927        
Redshift      All|All|All               All                  All      9.004172918862043         -0.5926691623912461        3.2787879275428864        -2.979689946312676         
