#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     VEGAHST|UVOT|UVOT_b       4365.530409045597     All      -0.8103094482908192       0.579016983247238          -0.16535845827350396       0.4451701377050773         
Zeropoint     VEGAHST|UVOT|UVOT_u       3482.7464488715177    All      -0.513960035179934        0.1472930914723003         -0.05486142970501857       0.21294368429402177        
Zeropoint     VEGAHST|UVOT|UVOT_v       5423.767781024582     All      2.308194965903566         0.2759132890088556         0.21951120296524454        -0.6521852254359843        
Check         All|All|All               All                   All      0.9839254824328126        1.002223363728394          -0.0007086850132779765     0.00592859656311473        
Lambda        VEGAHST|UVOT|UVOT_b       4365.530409045597     All      -0.0004690200029923091    -0.00015989742327240277    -0.001969075801250653      1.2820584673800275e-05     
Lambda        VEGAHST|UVOT|UVOT_u       3482.7464488715177    All      5.691364380686306e-05     -6.017446526627262e-05     -0.00022307829830153469    -4.8094409101122455e-05    
Lambda        VEGAHST|UVOT|UVOT_v       5423.767781024582     All      0.0005785012554555405     -0.00011396229966881319    -0.0026937672506236127     -0.0003457686216481397     
MWEBV         All|All|All               All                   All      -1.4118587625668466       -3.9660276771313896        0.0025911272644029582      -0.8318612150258371        
Redshift      All|All|All               All                   All      -0.6571205688608115       0.8330781033703549         5.387157664771834          0.7258108378843348         
