#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_u            3098.91206323026      All      -0.04784330117770701       0.04024949753436147       0.1698144901813435        0.036272763474564346      
Zeropoint     AB|SDSS|SDSS_g            4074.9071309579385    All      -0.964172182282805         0.5537700275365154        -0.8334594120380584       0.4572502509348881        
Zeropoint     AB|SDSS|SDSS_i            6457.111772924387     All      0.9828109761821668         -0.04696843181228871      -0.2790404998019381       -0.34788532783951825      
Zeropoint     AB|SDSS|SDSS_r            5324.685453764387     All      0.9391478685105306         0.4529971994491788        0.8740674504394863        -0.11934965092871078      
Zeropoint     AB|SDSS|SDSS_z            7676.967641869689     All      0.08440655107076206        0.0006246720678504403     0.07848524616092997       -0.023788078266731016     
Check         All|All|All               All                   All      0.9943499123029473         1.0006729647756174        0.009867274941763288      0.0024999573744924064     
Lambda        AB|SDSS|SDSS_u            3098.91206323026      All      -4.211333600870042e-05     3.7614928916745535e-05    0.0001693999434172338     3.3529660317135826e-05    
Lambda        AB|SDSS|SDSS_g            4074.9071309579385    All      -0.0008980661149281738     0.00032131820626004747    -0.0018560989292092413    0.00031436441950702127    
Lambda        AB|SDSS|SDSS_i            6457.111772924387     All      -0.00035249511397264516    1.541691133999743e-05     -5.51045246596216e-05     0.00011738198874080602    
Lambda        AB|SDSS|SDSS_r            5324.685453764387     All      0.00029674281777444876     0.0001386033066019247     0.0004807055735634778     -3.005955947697967e-05    
Lambda        AB|SDSS|SDSS_z            7676.967641869689     All      -2.2683468943445205e-06    6.760927078551024e-07     7.338371754878948e-06     1.2865786751198824e-06    
MWEBV         All|All|All               All                   All      -0.6837343750806424        -3.3246370365908717       0.3592609683075107        -0.8441967129811403       
Redshift      All|All|All               All                   All      7.28445658471912           -0.8665007159045501       0.6750355518665819        -2.62491121498956         
